Wavelength nm.,MilliQ,C50_11jul24_6R2,C50_11jul24_20R2,C50_15aug24_15R2,C50_11jul24_01R1,C50_16sep24_6R2,C50_16sep24_01R1,C50_11jul24_15R1,C50_16sep24_15R1,C50_15aug24_6R2,C50_16sep24_9R1,C50_15aug24_01R2,C50_15aug24_20R2,C50_16sep24_20R1,C50_11jul24_9R1,C50_15aug24_9R2
235,0.002,0.064,0.075,0.053,0.059,0.049,0.055,0.056,0.05,0.057,0.049,0.049,0.08,0.087,0.059,0.058
236,0.002,0.063,0.074,0.052,0.058,0.048,0.055,0.055,0.049,0.056,0.047,0.048,0.078,0.086,0.058,0.057
237,0.002,0.062,0.073,0.052,0.057,0.047,0.054,0.054,0.048,0.055,0.046,0.047,0.077,0.084,0.057,0.056
238,0.002,0.061,0.072,0.051,0.056,0.047,0.053,0.053,0.048,0.054,0.046,0.047,0.076,0.083,0.056,0.055
239,0.002,0.06,0.071,0.05,0.055,0.046,0.052,0.053,0.047,0.053,0.045,0.046,0.074,0.082,0.055,0.054
240,0.002,0.059,0.071,0.049,0.054,0.046,0.051,0.052,0.046,0.052,0.044,0.045,0.073,0.08,0.054,0.053
241,0.001,0.058,0.07,0.048,0.054,0.045,0.05,0.051,0.045,0.052,0.043,0.044,0.072,0.079,0.053,0.052
242,0.001,0.058,0.069,0.048,0.053,0.044,0.05,0.05,0.045,0.051,0.042,0.044,0.071,0.078,0.053,0.051
243,0.001,0.057,0.068,0.047,0.052,0.043,0.049,0.049,0.044,0.05,0.042,0.043,0.07,0.076,0.052,0.051
244,0.001,0.056,0.067,0.047,0.052,0.043,0.048,0.049,0.044,0.049,0.041,0.043,0.069,0.075,0.051,0.05
245,0.001,0.056,0.066,0.046,0.051,0.043,0.048,0.048,0.043,0.049,0.041,0.042,0.068,0.074,0.051,0.049
246,0.001,0.055,0.066,0.046,0.051,0.042,0.047,0.048,0.043,0.049,0.04,0.042,0.068,0.074,0.05,0.049
247,0.001,0.055,0.065,0.045,0.05,0.042,0.047,0.047,0.042,0.048,0.04,0.042,0.067,0.073,0.049,0.048
248,0.001,0.054,0.064,0.045,0.05,0.041,0.046,0.047,0.042,0.048,0.039,0.041,0.066,0.072,0.049,0.048
249,0.001,0.053,0.064,0.044,0.049,0.041,0.046,0.046,0.042,0.047,0.039,0.041,0.066,0.071,0.048,0.047
250,0.001,0.053,0.063,0.044,0.049,0.041,0.046,0.046,0.041,0.047,0.039,0.04,0.065,0.071,0.048,0.047
251,0.001,0.053,0.063,0.044,0.049,0.041,0.046,0.046,0.041,0.047,0.038,0.04,0.065,0.07,0.048,0.047
252,0.001,0.053,0.062,0.044,0.048,0.04,0.045,0.045,0.041,0.046,0.038,0.04,0.064,0.07,0.047,0.046
253,0.001,0.052,0.061,0.043,0.048,0.04,0.045,0.045,0.04,0.046,0.037,0.04,0.064,0.069,0.047,0.046
254,0.001,0.052,0.061,0.043,0.047,0.039,0.044,0.044,0.04,0.045,0.037,0.039,0.063,0.068,0.046,0.045
255,0.001,0.051,0.06,0.042,0.047,0.039,0.044,0.044,0.04,0.045,0.037,0.039,0.063,0.067,0.046,0.045
256,0.001,0.051,0.06,0.042,0.047,0.039,0.044,0.044,0.04,0.045,0.037,0.039,0.063,0.067,0.046,0.044
257,0.001,0.051,0.06,0.042,0.046,0.039,0.044,0.043,0.039,0.044,0.036,0.038,0.062,0.067,0.045,0.044
258,0.001,0.05,0.059,0.041,0.046,0.038,0.043,0.043,0.039,0.044,0.036,0.038,0.062,0.066,0.045,0.044
259,0.001,0.05,0.058,0.041,0.046,0.038,0.043,0.042,0.038,0.043,0.035,0.037,0.061,0.065,0.044,0.043
260,0.001,0.05,0.058,0.041,0.045,0.038,0.042,0.042,0.038,0.043,0.035,0.037,0.061,0.065,0.044,0.043
261,0.001,0.049,0.058,0.04,0.045,0.037,0.042,0.042,0.038,0.042,0.035,0.037,0.06,0.064,0.043,0.042
262,0.001,0.049,0.057,0.04,0.044,0.037,0.042,0.041,0.037,0.042,0.034,0.036,0.06,0.063,0.043,0.042
263,0.001,0.048,0.056,0.039,0.044,0.036,0.041,0.04,0.037,0.041,0.034,0.036,0.059,0.063,0.042,0.041
264,0.001,0.048,0.056,0.039,0.043,0.036,0.041,0.04,0.036,0.041,0.033,0.036,0.059,0.062,0.042,0.041
265,0.001,0.047,0.055,0.038,0.043,0.036,0.04,0.039,0.036,0.041,0.033,0.035,0.058,0.061,0.042,0.04
266,0.001,0.047,0.054,0.038,0.043,0.035,0.04,0.039,0.036,0.04,0.033,0.035,0.057,0.06,0.041,0.04
