Wavelength nm.,MilliQ,CC4_17dec24_9R2,CC3_17dec24_01R1,C50_17dec24_6R1,C50_17dec24_01R1,CC4_17dec24_9R1,CC2_17feb25_BOTR1,CP2_17feb25_BOTR1,CC4_17feb25_BOTR2,CS2_17feb25_01R1
346,0,0.01,0.016,0.01,0.011,0.01,0.014,0.017,0.014,0.011
347,0,0.01,0.017,0.01,0.011,0.01,0.014,0.017,0.014,0.011
348,0,0.009,0.016,0.009,0.01,0.01,0.014,0.017,0.014,0.011
349,0,0.009,0.016,0.009,0.01,0.01,0.013,0.017,0.013,0.011
350,0,0.009,0.016,0.009,0.01,0.009,0.013,0.017,0.013,0.011
351,0,0.009,0.015,0.009,0.01,0.009,0.013,0.016,0.013,0.011
352,0,0.009,0.015,0.009,0.01,0.009,0.013,0.016,0.013,0.011
353,0,0.009,0.015,0.009,0.01,0.009,0.012,0.016,0.013,0.011
354,0,0.008,0.015,0.008,0.009,0.009,0.012,0.016,0.012,0.01
355,0,0.008,0.014,0.008,0.009,0.009,0.012,0.015,0.012,0.01
356,0,0.008,0.014,0.008,0.009,0.008,0.011,0.015,0.012,0.009
357,0,0.008,0.014,0.008,0.009,0.008,0.011,0.015,0.012,0.01
358,0,0.008,0.014,0.008,0.009,0.009,0.011,0.015,0.012,0.01
359,0,0.007,0.014,0.008,0.008,0.008,0.011,0.015,0.011,0.009
360,0,0.007,0.014,0.007,0.008,0.008,0.011,0.015,0.012,0.009
361,0,0.008,0.013,0.007,0.008,0.008,0.011,0.014,0.011,0.009
362,0,0.007,0.013,0.007,0.008,0.008,0.011,0.014,0.011,0.009
363,0,0.007,0.013,0.007,0.008,0.008,0.01,0.014,0.011,0.009
364,0,0.007,0.013,0.007,0.008,0.008,0.01,0.014,0.011,0.009
365,0,0.007,0.012,0.007,0.007,0.007,0.01,0.013,0.01,0.008
366,0,0.007,0.013,0.007,0.007,0.007,0.01,0.013,0.01,0.008
367,0,0.006,0.012,0.006,0.007,0.007,0.01,0.013,0.01,0.008
368,0,0.006,0.012,0.006,0.007,0.007,0.01,0.013,0.01,0.008
369,0,0.006,0.012,0.006,0.007,0.007,0.009,0.013,0.01,0.008
370,0,0.006,0.012,0.006,0.007,0.007,0.009,0.012,0.009,0.007
371,0,0.006,0.012,0.006,0.007,0.006,0.009,0.012,0.009,0.007
372,0,0.006,0.012,0.006,0.007,0.007,0.009,0.012,0.009,0.008
373,0,0.006,0.012,0.006,0.007,0.007,0.009,0.012,0.009,0.008
374,0,0.006,0.011,0.006,0.007,0.007,0.009,0.012,0.009,0.008
375,0,0.006,0.011,0.006,0.007,0.006,0.008,0.012,0.009,0.007
376,0,0.005,0.011,0.005,0.006,0.006,0.008,0.012,0.009,0.007
377,0,0.005,0.011,0.005,0.006,0.006,0.008,0.012,0.009,0.007
378,0,0.005,0.011,0.005,0.006,0.006,0.008,0.012,0.009,0.007
379,0,0.006,0.011,0.005,0.006,0.006,0.008,0.011,0.008,0.007
380,0,0.005,0.01,0.005,0.006,0.006,0.008,0.011,0.008,0.007
381,0,0.005,0.011,0.005,0.006,0.006,0.008,0.011,0.008,0.007
382,0,0.005,0.01,0.005,0.006,0.006,0.008,0.011,0.008,0.006
383,0,0.005,0.01,0.005,0.006,0.006,0.007,0.011,0.008,0.006
384,0,0.005,0.01,0.005,0.006,0.006,0.007,0.011,0.008,0.006
385,0,0.005,0.01,0.005,0.006,0.005,0.007,0.011,0.008,0.006
386,0,0.005,0.01,0.005,0.006,0.005,0.007,0.01,0.008,0.006
