Wavelength,MilliQ,C50_1jun23_9m_r1,C100_1jun23_0_1m_r1,C50_1jun23_6m_r1,C300cove_1jun23_bot_r1,C300_1jun23_0_1m_r2,C300pool_1jun23_0_1m_r2,C300cove_1jun23_surf_r1,C50_1jun23_20m_r2,C50_1jun23_6m_r2
333,-0.005,0.008,0.027,0.01,0.011,0.012,0.013,0.009,0.008,0.009
334,-0.005,0.008,0.026,0.01,0.011,0.012,0.013,0.009,0.009,0.009
335,-0.005,0.008,0.026,0.01,0.01,0.012,0.012,0.008,0.008,0.008
336,-0.005,0.007,0.025,0.009,0.01,0.012,0.012,0.008,0.008,0.008
337,-0.005,0.007,0.025,0.009,0.01,0.011,0.012,0.008,0.008,0.008
338,-0.005,0.007,0.025,0.009,0.009,0.011,0.012,0.008,0.008,0.008
339,-0.004,0.007,0.025,0.009,0.01,0.012,0.012,0.008,0.008,0.008
340,-0.003,0.008,0.026,0.01,0.011,0.012,0.013,0.009,0.009,0.009
341,-0.004,0.007,0.024,0.009,0.009,0.011,0.011,0.007,0.007,0.007
342,-0.004,0.007,0.024,0.009,0.009,0.011,0.011,0.007,0.007,0.007
343,-0.005,0.006,0.023,0.008,0.009,0.01,0.011,0.007,0.007,0.007
344,-0.005,0.006,0.023,0.008,0.009,0.01,0.011,0.007,0.007,0.007
345,-0.005,0.006,0.023,0.008,0.008,0.01,0.01,0.007,0.007,0.007
346,-0.005,0.006,0.022,0.008,0.008,0.01,0.01,0.006,0.006,0.006
347,-0.004,0.006,0.022,0.008,0.008,0.01,0.01,0.006,0.006,0.006
348,-0.005,0.006,0.022,0.007,0.008,0.01,0.01,0.006,0.006,0.006
349,-0.005,0.005,0.021,0.007,0.008,0.009,0.01,0.006,0.006,0.006
350,-0.005,0.005,0.021,0.007,0.007,0.009,0.01,0.006,0.006,0.006
351,-0.004,0.005,0.021,0.007,0.007,0.009,0.009,0.006,0.006,0.006
352,-0.004,0.005,0.02,0.007,0.008,0.009,0.009,0.006,0.006,0.006
353,-0.004,0.005,0.02,0.007,0.007,0.009,0.009,0.006,0.006,0.006
354,-0.004,0.005,0.02,0.007,0.007,0.009,0.009,0.005,0.006,0.005
355,-0.004,0.005,0.02,0.007,0.007,0.009,0.009,0.005,0.006,0.005
356,-0.004,0.005,0.019,0.006,0.007,0.009,0.008,0.005,0.005,0.005
357,-0.004,0.005,0.019,0.006,0.007,0.009,0.008,0.005,0.005,0.005
358,-0.004,0.004,0.019,0.006,0.007,0.008,0.008,0.005,0.005,0.005
359,-0.004,0.005,0.018,0.006,0.007,0.008,0.008,0.005,0.005,0.005
360,-0.004,0.004,0.018,0.006,0.007,0.008,0.008,0.005,0.005,0.005
361,-0.004,0.004,0.018,0.006,0.007,0.008,0.008,0.005,0.005,0.005
362,-0.004,0.004,0.018,0.006,0.006,0.008,0.008,0.005,0.005,0.005
363,-0.004,0.004,0.018,0.006,0.006,0.008,0.008,0.005,0.005,0.004
364,-0.004,0.004,0.018,0.006,0.006,0.008,0.008,0.005,0.005,0.005
365,-0.004,0.004,0.017,0.005,0.006,0.008,0.007,0.004,0.005,0.004
366,-0.003,0.004,0.017,0.006,0.006,0.008,0.007,0.004,0.005,0.004
367,-0.004,0.004,0.017,0.006,0.006,0.008,0.007,0.004,0.005,0.004
368,-0.003,0.004,0.016,0.006,0.006,0.008,0.007,0.004,0.005,0.004
369,-0.003,0.004,0.016,0.005,0.006,0.008,0.007,0.004,0.005,0.004
370,-0.003,0.004,0.016,0.005,0.005,0.007,0.007,0.004,0.004,0.004
371,-0.003,0.003,0.016,0.005,0.005,0.007,0.007,0.004,0.004,0.004
372,-0.003,0.003,0.016,0.005,0.005,0.007,0.006,0.004,0.004,0.004
373,-0.003,0.003,0.016,0.005,0.005,0.007,0.007,0.004,0.004,0.004
374,-0.003,0.003,0.015,0.005,0.005,0.007,0.006,0.004,0.004,0.004
375,-0.003,0.003,0.015,0.005,0.005,0.007,0.006,0.004,0.004,0.004
376,-0.003,0.003,0.015,0.005,0.005,0.007,0.006,0.004,0.004,0.004
377,-0.003,0.003,0.015,0.005,0.005,0.007,0.006,0.004,0.004,0.004
378,-0.003,0.003,0.015,0.005,0.005,0.007,0.006,0.003,0.004,0.003
379,-0.003,0.003,0.015,0.005,0.005,0.007,0.006,0.003,0.004,0.003
380,-0.003,0.003,0.014,0.005,0.005,0.007,0.006,0.003,0.004,0.003
381,-0.003,0.003,0.014,0.005,0.005,0.007,0.006,0.003,0.004,0.003
382,-0.003,0.003,0.014,0.004,0.005,0.007,0.006,0.003,0.004,0.003
383,-0.003,0.003,0.014,0.004,0.004,0.007,0.006,0.003,0.004,0.003
384,-0.003,0.003,0.014,0.004,0.005,0.007,0.006,0.003,0.004,0.003
385,-0.003,0.003,0.013,0.004,0.004,0.007,0.005,0.003,0.004,0.003
386,-0.003,0.003,0.013,0.004,0.004,0.007,0.005,0.003,0.004,0.003
387,-0.003,0.003,0.013,0.004,0.004,0.006,0.005,0.003,0.003,0.003
388,-0.003,0.003,0.013,0.004,0.004,0.007,0.005,0.003,0.004,0.003
389,-0.003,0.003,0.013,0.004,0.004,0.006,0.005,0.003,0.004,0.003
390,-0.003,0.003,0.013,0.004,0.004,0.006,0.005,0.003,0.004,0.003
391,-0.003,0.002,0.012,0.004,0.004,0.006,0.005,0.002,0.003,0.003
392,-0.003,0.002,0.012,0.004,0.004,0.006,0.005,0.002,0.003,0.003
393,-0.003,0.003,0.012,0.004,0.004,0.006,0.005,0.002,0.003,0.003
394,-0.003,0.002,0.012,0.004,0.004,0.006,0.005,0.002,0.003,0.002
395,-0.003,0.003,0.012,0.004,0.004,0.006,0.005,0.002,0.003,0.003
396,-0.003,0.002,0.012,0.004,0.004,0.006,0.004,0.002,0.003,0.003
397,-0.002,0.002,0.012,0.004,0.004,0.006,0.004,0.002,0.003,0.002
398,-0.003,0.002,0.011,0.004,0.004,0.006,0.004,0.002,0.003,0.002
399,-0.002,0.002,0.011,0.004,0.003,0.006,0.004,0.002,0.003,0.002
400,-0.002,0.002,0.011,0.004,0.003,0.006,0.004,0.002,0.003,0.002
401,-0.002,0.002,0.011,0.004,0.003,0.006,0.004,0.002,0.003,0.002
402,-0.002,0.002,0.011,0.004,0.003,0.006,0.004,0.002,0.003,0.002
403,-0.002,0.002,0.011,0.004,0.003,0.006,0.004,0.002,0.003,0.002
404,-0.002,0.002,0.011,0.003,0.003,0.005,0.004,0.002,0.003,0.002
405,-0.002,0.002,0.011,0.003,0.003,0.005,0.004,0.002,0.003,0.002
406,-0.002,0.002,0.011,0.003,0.003,0.005,0.004,0.002,0.003,0.002
407,-0.002,0.002,0.01,0.003,0.003,0.005,0.004,0.002,0.003,0.002
408,-0.002,0.002,0.01,0.003,0.003,0.005,0.004,0.002,0.003,0.002
409,-0.002,0.002,0.01,0.003,0.003,0.005,0.004,0.002,0.003,0.002
410,-0.002,0.002,0.01,0.003,0.003,0.005,0.004,0.002,0.003,0.002
411,-0.002,0.002,0.01,0.003,0.003,0.005,0.004,0.002,0.003,0.002
412,-0.002,0.002,0.01,0.003,0.003,0.005,0.004,0.002,0.003,0.002
413,-0.002,0.002,0.01,0.003,0.003,0.005,0.004,0.002,0.003,0.002
414,-0.002,0.002,0.01,0.003,0.003,0.005,0.003,0.002,0.003,0.002
415,-0.002,0.002,0.01,0.003,0.003,0.005,0.004,0.002,0.003,0.002
416,-0.002,0.002,0.01,0.003,0.003,0.005,0.004,0.002,0.003,0.002
417,-0.002,0.002,0.009,0.003,0.003,0.005,0.003,0.002,0.003,0.002
418,-0.002,0.002,0.009,0.003,0.003,0.005,0.003,0.002,0.003,0.002
419,-0.002,0.002,0.009,0.003,0.003,0.005,0.003,0.002,0.003,0.002
420,-0.002,0.002,0.009,0.003,0.003,0.005,0.003,0.002,0.003,0.002
421,-0.002,0.002,0.009,0.003,0.003,0.005,0.003,0.002,0.003,0.002
422,-0.002,0.002,0.009,0.003,0.003,0.005,0.003,0.002,0.003,0.002
423,-0.002,0.002,0.009,0.003,0.003,0.005,0.003,0.002,0.003,0.002
424,-0.001,0.002,0.009,0.003,0.003,0.005,0.003,0.002,0.003,0.002
425,-0.001,0.002,0.009,0.003,0.003,0.005,0.003,0.002,0.003,0.002
426,-0.002,0.002,0.009,0.003,0.003,0.005,0.003,0.002,0.003,0.002
427,-0.001,0.002,0.009,0.003,0.003,0.005,0.003,0.002,0.003,0.002
428,-0.001,0.002,0.009,0.003,0.003,0.005,0.003,0.002,0.003,0.002
429,-0.002,0.002,0.008,0.003,0.003,0.005,0.003,0.002,0.003,0.001
430,-0.001,0.002,0.008,0.003,0.003,0.005,0.003,0.002,0.003,0.001
431,-0.001,0.002,0.008,0.003,0.003,0.005,0.003,0.002,0.003,0.002
432,-0.001,0.002,0.008,0.003,0.003,0.005,0.003,0.001,0.003,0.001
433,-0.001,0.002,0.008,0.003,0.003,0.005,0.003,0.001,0.003,0.001
434,-0.001,0.002,0.008,0.003,0.003,0.005,0.003,0.002,0.002,0.002
435,-0.001,0.002,0.008,0.003,0.003,0.005,0.003,0.001,0.003,0.001
436,-0.001,0.002,0.008,0.003,0.003,0.005,0.003,0.001,0.003,0.001
437,-0.001,0.002,0.008,0.003,0.003,0.005,0.003,0.001,0.002,0.001
438,-0.001,0.001,0.008,0.003,0.003,0.004,0.003,0.001,0.002,0.001
439,-0.001,0.002,0.008,0.003,0.002,0.004,0.003,0.001,0.002,0.001
440,-0.001,0.001,0.008,0.002,0.002,0.004,0.003,0.001,0.002,0.001
441,-0.001,0.001,0.008,0.003,0.002,0.004,0.002,0.001,0.002,0.001
442,-0.001,0.001,0.007,0.003,0.002,0.004,0.002,0.001,0.002,0.001
443,-0.001,0.001,0.007,0.003,0.002,0.004,0.002,0.001,0.002,0.001
444,-0.001,0.001,0.007,0.003,0.002,0.004,0.002,0.001,0.002,0.001
445,-0.001,0.001,0.007,0.003,0.002,0.004,0.002,0.001,0.002,0.001
446,-0.001,0.001,0.007,0.002,0.002,0.004,0.002,0.001,0.002,0.001
447,-0.001,0.001,0.007,0.002,0.002,0.004,0.002,0.001,0.002,0.001
448,-0.001,0.001,0.007,0.002,0.002,0.004,0.002,0.001,0.002,0.001
449,-0.001,0.001,0.007,0.002,0.002,0.004,0.002,0.001,0.002,0.001
450,-0.001,0.001,0.007,0.002,0.002,0.004,0.002,0.001,0.002,0.001
451,-0.001,0.001,0.007,0.002,0.002,0.004,0.002,0.001,0.002,0.001
452,-0.001,0.001,0.007,0.002,0.002,0.004,0.002,0.001,0.002,0.001
453,-0.001,0.001,0.007,0.002,0.002,0.004,0.002,0.001,0.002,0.001
454,-0.001,0.001,0.007,0.002,0.002,0.004,0.002,0.001,0.002,0.001
455,-0.001,0.001,0.007,0.002,0.002,0.004,0.002,0.001,0.002,0.001
456,-0.001,0.001,0.007,0.002,0.002,0.004,0.002,0.001,0.002,0.001
457,-0.001,0.001,0.007,0.002,0.002,0.004,0.002,0.001,0.002,0.001
458,-0.001,0.001,0.007,0.002,0.002,0.004,0.002,0.001,0.002,0.001
459,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
460,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
461,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
462,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
463,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
464,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
465,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
466,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
467,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
468,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
469,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
470,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
471,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
472,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
473,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
474,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
475,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
476,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
477,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
478,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
479,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
480,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
481,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0,0.002,0.001
482,-0.001,0.001,0.006,0.002,0.002,0.004,0.001,0.001,0.002,0.001
483,-0.001,0.001,0.005,0.002,0.002,0.004,0.001,0.001,0.002,0.001
484,-0.001,0.001,0.005,0.002,0.002,0.004,0.002,0.001,0.002,0.001
485,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
486,-0.001,0.001,0.006,0.002,0.002,0.004,0.002,0.001,0.002,0.001
