Wavelenght,MilliQ,C100cove_1jun23_surf_r2,C50_1jun23_1_5m_r1,C50_1jun23_0_1m_r2,C301_4may23_0_1m_r1,C301cove_4may23_PD_r1,C50_4may23_0_1m_r1,C50_1jun23_0_1m_r1,C50_4may23_9m_r2,C100_1jun23_bot_r2,C301cove_4may23_0_1m_r2
243,-0.006,0.049,0.065,0.05,0.025,0.061,0.058,0.052,0.055,0.052,0.057
244,-0.006,0.049,0.064,0.049,0.025,0.06,0.057,0.051,0.055,0.051,0.057
245,-0.006,0.048,0.063,0.049,0.025,0.059,0.057,0.051,0.054,0.051,0.056
246,-0.006,0.048,0.062,0.048,0.024,0.059,0.056,0.05,0.054,0.05,0.056
247,-0.006,0.047,0.062,0.048,0.024,0.058,0.056,0.05,0.053,0.05,0.056
248,-0.006,0.047,0.061,0.047,0.024,0.058,0.055,0.05,0.053,0.05,0.055
249,-0.005,0.047,0.06,0.047,0.024,0.057,0.055,0.05,0.052,0.049,0.055
250,-0.006,0.046,0.059,0.047,0.023,0.057,0.055,0.05,0.052,0.049,0.055
251,-0.005,0.046,0.059,0.046,0.023,0.057,0.055,0.05,0.052,0.049,0.055
252,-0.005,0.046,0.058,0.046,0.023,0.056,0.054,0.049,0.051,0.049,0.054
253,-0.005,0.046,0.058,0.046,0.023,0.056,0.054,0.049,0.051,0.048,0.054
254,-0.005,0.045,0.057,0.045,0.023,0.055,0.054,0.049,0.051,0.048,0.054
255,-0.005,0.045,0.057,0.045,0.023,0.055,0.054,0.049,0.05,0.048,0.054
256,-0.005,0.045,0.056,0.045,0.023,0.054,0.053,0.048,0.05,0.048,0.053
257,-0.005,0.044,0.056,0.045,0.022,0.054,0.053,0.048,0.049,0.048,0.053
258,-0.005,0.044,0.056,0.044,0.022,0.054,0.053,0.048,0.049,0.047,0.053
259,-0.005,0.044,0.056,0.044,0.022,0.053,0.053,0.048,0.049,0.047,0.053
260,-0.005,0.043,0.055,0.044,0.022,0.053,0.052,0.048,0.048,0.047,0.052
261,-0.005,0.043,0.056,0.044,0.022,0.053,0.052,0.048,0.048,0.047,0.052
262,-0.005,0.043,0.056,0.043,0.021,0.052,0.051,0.047,0.047,0.046,0.052
263,-0.005,0.042,0.055,0.043,0.021,0.051,0.051,0.047,0.047,0.046,0.051
264,-0.005,0.041,0.055,0.042,0.021,0.051,0.051,0.047,0.046,0.046,0.051
265,-0.005,0.041,0.055,0.042,0.021,0.05,0.05,0.046,0.046,0.045,0.051
266,-0.005,0.041,0.055,0.041,0.02,0.05,0.05,0.046,0.045,0.045,0.05
267,-0.005,0.04,0.055,0.041,0.02,0.049,0.049,0.045,0.044,0.044,0.05
268,-0.005,0.039,0.055,0.04,0.02,0.048,0.049,0.045,0.044,0.044,0.049
269,-0.005,0.039,0.055,0.04,0.019,0.048,0.048,0.045,0.043,0.043,0.049
270,-0.005,0.038,0.055,0.039,0.019,0.047,0.048,0.044,0.043,0.043,0.048
271,-0.005,0.038,0.055,0.039,0.019,0.047,0.047,0.044,0.042,0.042,0.048
272,-0.005,0.037,0.055,0.038,0.019,0.047,0.047,0.043,0.041,0.042,0.048
273,-0.005,0.037,0.054,0.037,0.019,0.046,0.046,0.043,0.041,0.041,0.047
274,-0.005,0.036,0.054,0.037,0.018,0.046,0.045,0.042,0.04,0.04,0.047
275,-0.005,0.035,0.054,0.036,0.018,0.045,0.045,0.041,0.04,0.04,0.046
276,-0.004,0.035,0.054,0.036,0.018,0.044,0.044,0.041,0.039,0.039,0.046
277,-0.005,0.034,0.054,0.035,0.017,0.044,0.043,0.04,0.038,0.038,0.045
278,-0.005,0.033,0.053,0.034,0.017,0.043,0.043,0.039,0.037,0.037,0.044
279,-0.005,0.033,0.053,0.034,0.017,0.043,0.042,0.039,0.037,0.037,0.044
280,-0.004,0.032,0.053,0.033,0.017,0.042,0.042,0.038,0.036,0.036,0.043
281,-0.004,0.031,0.053,0.032,0.017,0.042,0.041,0.037,0.035,0.035,0.042
282,-0.004,0.031,0.053,0.032,0.017,0.041,0.04,0.036,0.035,0.035,0.042
283,-0.004,0.03,0.052,0.031,0.016,0.04,0.039,0.035,0.034,0.034,0.041
284,-0.005,0.029,0.052,0.03,0.016,0.04,0.038,0.035,0.033,0.033,0.04
285,-0.004,0.028,0.052,0.029,0.016,0.039,0.038,0.034,0.033,0.032,0.04
286,-0.004,0.028,0.051,0.029,0.016,0.039,0.037,0.033,0.032,0.031,0.039
287,-0.004,0.027,0.051,0.028,0.015,0.038,0.036,0.032,0.031,0.03,0.038
288,-0.004,0.026,0.05,0.027,0.015,0.038,0.035,0.031,0.031,0.03,0.037
289,-0.004,0.025,0.049,0.027,0.014,0.037,0.034,0.03,0.03,0.029,0.037
290,-0.004,0.025,0.048,0.026,0.014,0.036,0.034,0.03,0.029,0.028,0.036
291,-0.004,0.024,0.048,0.026,0.014,0.036,0.033,0.029,0.029,0.027,0.035
292,-0.004,0.024,0.047,0.025,0.014,0.036,0.032,0.028,0.028,0.027,0.035
293,-0.004,0.023,0.046,0.024,0.014,0.035,0.031,0.027,0.028,0.026,0.034
294,-0.004,0.022,0.044,0.024,0.013,0.034,0.03,0.026,0.027,0.025,0.033
295,-0.004,0.022,0.043,0.023,0.013,0.034,0.03,0.025,0.027,0.024,0.032
296,-0.004,0.021,0.042,0.022,0.013,0.034,0.029,0.025,0.026,0.024,0.031
297,-0.004,0.021,0.041,0.022,0.013,0.033,0.028,0.024,0.025,0.023,0.031
298,-0.004,0.02,0.039,0.021,0.013,0.033,0.028,0.023,0.025,0.022,0.03
299,-0.004,0.02,0.037,0.021,0.013,0.032,0.027,0.023,0.024,0.022,0.03
300,-0.004,0.019,0.036,0.02,0.012,0.032,0.026,0.022,0.024,0.021,0.029
301,-0.003,0.019,0.034,0.019,0.012,0.031,0.026,0.021,0.023,0.021,0.028
