Wavelength nm.,MilliQ,CC3_1aug24_01_midnight,CC3_1aug24_BOT_6am,CC3_1aug24_01_6am,CC4_11jul24_9r1,CC3_1aug24_BOT_midnight,CC4_15aug24_BOTr2,CC3_19jun24_01r1,CS2_19jun24_01r2,CC4_15aug24_9r2,CC2_22may24_BOTr2,CC3_31jul24_01_noon,CC3_31jul24_BOT_noon,CP1_15aug24_01r1
205,0.002,0.119,0.119,0.112,0.154,0.13,0.167,0.133,0.261,0.165,0.139,0.108,0.133,0.233
206,0.002,0.114,0.114,0.107,0.149,0.125,0.161,0.128,0.255,0.16,0.134,0.104,0.128,0.229
207,0.002,0.11,0.11,0.103,0.144,0.12,0.156,0.123,0.249,0.155,0.129,0.1,0.123,0.225
208,0.002,0.106,0.106,0.099,0.14,0.116,0.152,0.119,0.242,0.15,0.125,0.097,0.119,0.221
209,0.002,0.102,0.102,0.095,0.135,0.112,0.147,0.115,0.234,0.145,0.122,0.093,0.116,0.217
210,0.002,0.099,0.099,0.092,0.131,0.109,0.142,0.112,0.226,0.14,0.119,0.09,0.112,0.213
211,0.002,0.095,0.096,0.089,0.127,0.105,0.138,0.108,0.218,0.136,0.115,0.087,0.109,0.209
212,0.002,0.092,0.093,0.087,0.122,0.102,0.133,0.105,0.208,0.131,0.112,0.084,0.106,0.205
213,0.002,0.09,0.09,0.084,0.118,0.1,0.128,0.102,0.198,0.126,0.109,0.082,0.103,0.201
214,0.002,0.087,0.088,0.081,0.114,0.097,0.123,0.099,0.188,0.122,0.106,0.079,0.1,0.197
215,0.002,0.085,0.085,0.079,0.111,0.094,0.119,0.097,0.178,0.117,0.104,0.077,0.098,0.193
216,0.002,0.082,0.083,0.077,0.107,0.092,0.114,0.094,0.168,0.113,0.101,0.075,0.095,0.189
217,0.002,0.08,0.081,0.075,0.104,0.09,0.11,0.092,0.159,0.109,0.099,0.074,0.093,0.185
218,0.002,0.078,0.079,0.073,0.101,0.088,0.106,0.09,0.149,0.104,0.097,0.072,0.091,0.182
219,0.002,0.077,0.077,0.071,0.098,0.086,0.102,0.088,0.14,0.101,0.094,0.07,0.089,0.178
220,0.002,0.075,0.075,0.069,0.095,0.084,0.098,0.086,0.131,0.097,0.093,0.068,0.087,0.175
221,0.001,0.073,0.074,0.068,0.092,0.082,0.094,0.084,0.123,0.093,0.091,0.067,0.085,0.172
222,0.001,0.072,0.072,0.066,0.09,0.081,0.091,0.082,0.115,0.09,0.089,0.065,0.083,0.169
223,0.002,0.07,0.071,0.065,0.087,0.079,0.088,0.081,0.108,0.087,0.087,0.064,0.082,0.166
224,0.002,0.069,0.069,0.064,0.085,0.078,0.085,0.079,0.101,0.084,0.086,0.063,0.08,0.164
225,0.002,0.068,0.068,0.062,0.083,0.076,0.082,0.078,0.095,0.081,0.084,0.062,0.079,0.161
226,0.002,0.066,0.067,0.061,0.081,0.075,0.079,0.076,0.089,0.078,0.083,0.06,0.077,0.158
227,0.001,0.065,0.065,0.06,0.079,0.073,0.077,0.074,0.083,0.076,0.081,0.059,0.076,0.156
228,0.001,0.064,0.064,0.058,0.077,0.072,0.074,0.073,0.078,0.073,0.079,0.058,0.074,0.153
229,0.001,0.062,0.063,0.057,0.075,0.071,0.072,0.072,0.074,0.071,0.078,0.057,0.073,0.151
230,0.001,0.061,0.062,0.056,0.074,0.07,0.07,0.07,0.07,0.069,0.077,0.056,0.072,0.148
231,0.001,0.06,0.06,0.055,0.072,0.068,0.068,0.069,0.066,0.067,0.075,0.055,0.07,0.146
232,0.001,0.059,0.059,0.054,0.071,0.067,0.067,0.068,0.063,0.066,0.074,0.054,0.069,0.144
233,0.001,0.058,0.058,0.053,0.069,0.066,0.065,0.067,0.061,0.064,0.073,0.053,0.068,0.142
234,0.001,0.057,0.058,0.053,0.068,0.065,0.064,0.066,0.059,0.063,0.072,0.052,0.067,0.14
235,0.001,0.056,0.057,0.051,0.067,0.064,0.063,0.064,0.056,0.061,0.071,0.051,0.066,0.138
236,0.001,0.055,0.056,0.05,0.065,0.063,0.061,0.063,0.054,0.06,0.07,0.05,0.065,0.136
237,0.001,0.055,0.055,0.05,0.064,0.062,0.06,0.062,0.053,0.059,0.069,0.05,0.064,0.134
238,0.001,0.054,0.054,0.049,0.063,0.061,0.059,0.061,0.051,0.058,0.068,0.049,0.063,0.132
239,0.001,0.053,0.053,0.048,0.063,0.061,0.058,0.061,0.05,0.057,0.067,0.048,0.063,0.13
240,0.001,0.052,0.052,0.048,0.061,0.06,0.057,0.06,0.049,0.056,0.066,0.048,0.062,0.129
241,0.001,0.051,0.052,0.047,0.061,0.059,0.056,0.059,0.048,0.055,0.065,0.047,0.061,0.127
242,0.001,0.051,0.051,0.047,0.06,0.059,0.055,0.058,0.047,0.054,0.064,0.046,0.061,0.126
243,0.001,0.05,0.051,0.046,0.059,0.058,0.055,0.058,0.047,0.054,0.064,0.046,0.06,0.124
244,0.001,0.05,0.05,0.045,0.058,0.058,0.054,0.057,0.046,0.053,0.063,0.045,0.059,0.123
245,0.001,0.049,0.05,0.045,0.058,0.057,0.054,0.057,0.045,0.053,0.062,0.045,0.059,0.122
246,0.001,0.049,0.049,0.045,0.057,0.057,0.053,0.056,0.045,0.052,0.062,0.044,0.058,0.12
247,0.001,0.048,0.049,0.044,0.056,0.056,0.052,0.056,0.044,0.051,0.061,0.044,0.058,0.119
248,0.001,0.048,0.048,0.044,0.056,0.056,0.052,0.055,0.043,0.051,0.061,0.044,0.057,0.118
249,0.001,0.048,0.048,0.043,0.055,0.055,0.051,0.055,0.043,0.05,0.06,0.043,0.057,0.117
250,0.001,0.047,0.048,0.043,0.055,0.055,0.051,0.054,0.043,0.05,0.06,0.043,0.057,0.116
251,0.001,0.047,0.047,0.043,0.054,0.055,0.051,0.054,0.042,0.049,0.059,0.043,0.056,0.115
252,0.001,0.047,0.047,0.043,0.054,0.054,0.05,0.054,0.042,0.049,0.059,0.042,0.056,0.114
253,0.001,0.046,0.047,0.042,0.054,0.054,0.05,0.053,0.042,0.049,0.059,0.042,0.056,0.113
254,0.001,0.046,0.046,0.042,0.053,0.053,0.049,0.053,0.041,0.048,0.058,0.042,0.055,0.112
255,0.001,0.046,0.046,0.042,0.053,0.053,0.049,0.053,0.041,0.048,0.058,0.042,0.055,0.111
256,0.001,0.045,0.046,0.042,0.052,0.053,0.049,0.052,0.041,0.048,0.057,0.041,0.054,0.111
257,0.001,0.045,0.045,0.041,0.052,0.052,0.048,0.052,0.04,0.047,0.057,0.041,0.054,0.11
258,0.001,0.044,0.045,0.041,0.051,0.052,0.048,0.051,0.04,0.047,0.056,0.041,0.054,0.108
259,0.001,0.044,0.044,0.04,0.051,0.052,0.048,0.051,0.04,0.046,0.056,0.04,0.053,0.108
260,0.001,0.044,0.044,0.04,0.05,0.051,0.047,0.051,0.039,0.046,0.055,0.04,0.053,0.107
261,0.001,0.043,0.044,0.04,0.05,0.051,0.047,0.05,0.039,0.046,0.055,0.039,0.052,0.106
262,0.001,0.043,0.043,0.039,0.05,0.05,0.046,0.05,0.039,0.045,0.054,0.039,0.052,0.105
263,0.001,0.042,0.043,0.039,0.049,0.05,0.046,0.049,0.038,0.045,0.054,0.039,0.051,0.104
264,0.001,0.042,0.043,0.038,0.049,0.049,0.045,0.049,0.038,0.044,0.053,0.038,0.051,0.103
265,0.001,0.041,0.042,0.038,0.048,0.049,0.045,0.048,0.037,0.044,0.053,0.038,0.05,0.102
266,0.001,0.041,0.042,0.037,0.048,0.048,0.044,0.048,0.037,0.043,0.052,0.037,0.05,0.101
267,0.001,0.04,0.041,0.037,0.047,0.048,0.044,0.047,0.037,0.043,0.051,0.037,0.049,0.1
268,0.001,0.04,0.04,0.036,0.047,0.047,0.043,0.047,0.037,0.042,0.051,0.036,0.049,0.098
269,0.001,0.039,0.04,0.036,0.046,0.046,0.043,0.046,0.036,0.042,0.05,0.035,0.048,0.097
270,0.001,0.038,0.039,0.035,0.046,0.046,0.042,0.045,0.036,0.041,0.049,0.035,0.047,0.096
271,0.001,0.037,0.039,0.034,0.045,0.045,0.041,0.044,0.035,0.041,0.049,0.034,0.047,0.095
272,0.001,0.037,0.038,0.034,0.044,0.044,0.041,0.044,0.035,0.04,0.048,0.033,0.046,0.093
273,0.001,0.036,0.037,0.033,0.044,0.044,0.04,0.043,0.035,0.039,0.047,0.033,0.046,0.092
274,0.001,0.036,0.037,0.033,0.043,0.043,0.04,0.042,0.034,0.039,0.047,0.032,0.045,0.091
275,0.001,0.035,0.036,0.032,0.043,0.042,0.039,0.041,0.034,0.038,0.046,0.032,0.044,0.09
276,0.001,0.034,0.036,0.031,0.042,0.041,0.038,0.041,0.033,0.038,0.045,0.031,0.043,0.089
277,0.001,0.033,0.034,0.031,0.041,0.041,0.038,0.039,0.033,0.037,0.044,0.03,0.043,0.087
278,0.001,0.033,0.034,0.03,0.041,0.04,0.037,0.039,0.032,0.036,0.043,0.029,0.042,0.086
279,0,0.032,0.033,0.029,0.04,0.039,0.036,0.038,0.032,0.036,0.043,0.029,0.041,0.085
280,0.001,0.031,0.032,0.028,0.039,0.038,0.036,0.037,0.032,0.035,0.042,0.028,0.04,0.084
281,0.001,0.03,0.031,0.028,0.039,0.038,0.035,0.037,0.031,0.034,0.041,0.027,0.04,0.083
282,0,0.03,0.031,0.027,0.038,0.037,0.034,0.036,0.031,0.033,0.04,0.027,0.039,0.081
283,0,0.029,0.03,0.026,0.037,0.036,0.034,0.035,0.03,0.033,0.04,0.026,0.038,0.08
284,0,0.028,0.029,0.026,0.037,0.035,0.033,0.034,0.03,0.032,0.039,0.025,0.038,0.079
285,0.001,0.028,0.029,0.025,0.036,0.035,0.033,0.034,0.029,0.032,0.038,0.025,0.037,0.078
286,0.001,0.027,0.028,0.024,0.036,0.034,0.032,0.033,0.029,0.031,0.037,0.024,0.036,0.077
287,0.001,0.026,0.027,0.024,0.035,0.033,0.032,0.032,0.029,0.031,0.036,0.023,0.036,0.075
288,0,0.025,0.027,0.023,0.035,0.033,0.031,0.031,0.028,0.03,0.035,0.023,0.035,0.074
289,0,0.025,0.026,0.022,0.034,0.032,0.03,0.031,0.028,0.029,0.035,0.022,0.034,0.073
290,0,0.024,0.025,0.022,0.033,0.031,0.03,0.03,0.027,0.029,0.034,0.021,0.034,0.072
291,0,0.024,0.025,0.021,0.032,0.031,0.029,0.029,0.027,0.028,0.033,0.021,0.033,0.071
292,0,0.023,0.024,0.02,0.032,0.03,0.029,0.028,0.026,0.027,0.033,0.02,0.032,0.069
293,0.001,0.023,0.024,0.02,0.031,0.029,0.028,0.028,0.026,0.027,0.032,0.02,0.032,0.068
294,0,0.022,0.023,0.019,0.031,0.029,0.028,0.027,0.026,0.026,0.031,0.019,0.031,0.067
295,0.001,0.021,0.023,0.019,0.03,0.028,0.027,0.027,0.025,0.026,0.031,0.019,0.03,0.067
296,0,0.021,0.022,0.018,0.029,0.028,0.026,0.026,0.025,0.025,0.03,0.018,0.03,0.065
297,0.001,0.021,0.021,0.018,0.029,0.027,0.026,0.026,0.025,0.025,0.029,0.018,0.029,0.065
298,0.001,0.02,0.021,0.017,0.028,0.027,0.025,0.025,0.024,0.024,0.029,0.017,0.029,0.064
299,0,0.019,0.02,0.017,0.028,0.026,0.025,0.024,0.024,0.024,0.028,0.017,0.028,0.063
300,0,0.019,0.02,0.016,0.027,0.026,0.025,0.024,0.023,0.023,0.028,0.016,0.028,0.062
301,0.001,0.019,0.02,0.016,0.027,0.025,0.024,0.023,0.023,0.023,0.027,0.016,0.028,0.061
302,0.001,0.018,0.019,0.016,0.027,0.025,0.024,0.023,0.023,0.023,0.027,0.016,0.027,0.06
303,0,0.018,0.019,0.015,0.026,0.024,0.023,0.023,0.022,0.022,0.026,0.015,0.027,0.059
304,0,0.017,0.018,0.015,0.026,0.024,0.023,0.022,0.022,0.022,0.026,0.015,0.026,0.058
305,0.001,0.017,0.018,0.014,0.025,0.024,0.023,0.022,0.022,0.021,0.025,0.015,0.026,0.057
306,0,0.016,0.017,0.014,0.024,0.023,0.022,0.021,0.021,0.021,0.024,0.014,0.025,0.056
307,0,0.016,0.017,0.014,0.024,0.023,0.022,0.021,0.021,0.021,0.024,0.014,0.025,0.055
308,0,0.016,0.017,0.013,0.024,0.022,0.021,0.02,0.021,0.02,0.024,0.013,0.025,0.054
309,0,0.015,0.016,0.013,0.023,0.022,0.021,0.02,0.02,0.019,0.023,0.013,0.024,0.054
310,0,0.015,0.016,0.012,0.023,0.021,0.02,0.02,0.02,0.019,0.023,0.013,0.024,0.053
311,0,0.015,0.016,0.012,0.022,0.021,0.02,0.019,0.02,0.019,0.022,0.012,0.024,0.052
312,0,0.015,0.016,0.012,0.022,0.021,0.02,0.019,0.019,0.019,0.022,0.012,0.023,0.052
313,0,0.014,0.015,0.012,0.022,0.021,0.02,0.018,0.019,0.018,0.021,0.012,0.023,0.051
314,0,0.014,0.015,0.011,0.021,0.02,0.019,0.018,0.019,0.018,0.021,0.011,0.023,0.05
315,0,0.014,0.015,0.011,0.021,0.02,0.019,0.018,0.019,0.018,0.021,0.011,0.022,0.049
316,0,0.014,0.014,0.011,0.021,0.02,0.019,0.018,0.018,0.017,0.02,0.011,0.022,0.049
317,0,0.014,0.014,0.011,0.021,0.02,0.018,0.017,0.018,0.017,0.02,0.011,0.022,0.048
318,0,0.013,0.014,0.011,0.02,0.019,0.018,0.017,0.018,0.017,0.02,0.011,0.022,0.047
319,0,0.013,0.014,0.01,0.02,0.019,0.018,0.016,0.018,0.017,0.019,0.01,0.021,0.046
320,0,0.013,0.013,0.01,0.019,0.019,0.017,0.016,0.017,0.016,0.019,0.01,0.021,0.046
321,0,0.013,0.013,0.01,0.019,0.019,0.017,0.016,0.017,0.016,0.019,0.01,0.021,0.045
322,0,0.012,0.013,0.01,0.019,0.019,0.017,0.016,0.017,0.016,0.019,0.01,0.02,0.045
323,0.001,0.012,0.013,0.009,0.019,0.018,0.017,0.016,0.017,0.015,0.018,0.01,0.02,0.044
324,0,0.012,0.013,0.009,0.018,0.018,0.017,0.015,0.016,0.015,0.018,0.009,0.02,0.044
325,0.001,0.012,0.013,0.009,0.018,0.018,0.017,0.015,0.016,0.015,0.018,0.009,0.02,0.043
326,0,0.012,0.012,0.009,0.018,0.018,0.016,0.015,0.016,0.015,0.017,0.009,0.02,0.042
327,0.001,0.011,0.012,0.009,0.018,0.018,0.016,0.015,0.016,0.015,0.017,0.009,0.02,0.042
328,0,0.011,0.012,0.009,0.017,0.017,0.016,0.014,0.016,0.014,0.017,0.009,0.019,0.041
329,0,0.011,0.012,0.009,0.017,0.017,0.016,0.014,0.015,0.014,0.017,0.009,0.019,0.041
330,0,0.011,0.012,0.008,0.017,0.017,0.015,0.014,0.015,0.014,0.016,0.009,0.019,0.04
331,0,0.011,0.011,0.008,0.016,0.017,0.015,0.014,0.015,0.014,0.016,0.008,0.018,0.039
332,0,0.011,0.011,0.008,0.017,0.017,0.015,0.014,0.015,0.014,0.016,0.008,0.019,0.039
333,0.001,0.011,0.011,0.008,0.016,0.016,0.015,0.013,0.014,0.013,0.015,0.008,0.018,0.038
334,0,0.01,0.011,0.008,0.016,0.016,0.014,0.013,0.014,0.013,0.015,0.008,0.018,0.038
335,0,0.01,0.011,0.008,0.016,0.016,0.014,0.013,0.014,0.013,0.015,0.007,0.018,0.037
336,0,0.01,0.01,0.007,0.015,0.016,0.014,0.013,0.014,0.013,0.014,0.008,0.018,0.036
337,0,0.01,0.01,0.007,0.015,0.015,0.014,0.012,0.014,0.013,0.014,0.007,0.017,0.036
338,0,0.01,0.01,0.007,0.015,0.015,0.013,0.012,0.013,0.012,0.014,0.007,0.017,0.036
339,0.001,0.01,0.011,0.008,0.015,0.016,0.014,0.013,0.014,0.013,0.014,0.007,0.018,0.035
340,0.001,0.011,0.011,0.009,0.016,0.017,0.015,0.013,0.015,0.013,0.015,0.008,0.018,0.036
341,0,0.01,0.01,0.007,0.015,0.016,0.014,0.012,0.013,0.012,0.014,0.007,0.017,0.034
342,0,0.009,0.01,0.007,0.014,0.015,0.013,0.012,0.013,0.012,0.013,0.007,0.017,0.034
343,0,0.009,0.009,0.006,0.014,0.015,0.013,0.011,0.012,0.011,0.013,0.007,0.016,0.033
344,0,0.009,0.009,0.006,0.013,0.015,0.012,0.011,0.013,0.011,0.013,0.007,0.016,0.032
345,0,0.009,0.009,0.006,0.014,0.014,0.012,0.011,0.012,0.011,0.013,0.006,0.016,0.032
346,0,0.008,0.009,0.006,0.013,0.014,0.012,0.01,0.012,0.011,0.012,0.006,0.015,0.031
347,0,0.008,0.009,0.006,0.013,0.014,0.012,0.011,0.012,0.011,0.012,0.006,0.016,0.031
348,0,0.008,0.009,0.006,0.013,0.014,0.012,0.011,0.012,0.011,0.012,0.006,0.015,0.03
349,0,0.008,0.009,0.006,0.012,0.014,0.012,0.01,0.012,0.011,0.012,0.006,0.015,0.03
350,0.001,0.008,0.009,0.006,0.013,0.014,0.012,0.01,0.012,0.011,0.012,0.006,0.015,0.03
351,0,0.008,0.009,0.006,0.013,0.014,0.012,0.01,0.012,0.01,0.012,0.006,0.015,0.029
352,0.001,0.008,0.009,0.006,0.012,0.014,0.012,0.01,0.011,0.01,0.011,0.006,0.015,0.029
353,0,0.008,0.008,0.006,0.012,0.014,0.011,0.01,0.011,0.01,0.011,0.006,0.015,0.028
354,0,0.008,0.008,0.005,0.012,0.013,0.011,0.01,0.011,0.009,0.011,0.006,0.014,0.028
355,0,0.008,0.008,0.005,0.012,0.013,0.011,0.01,0.011,0.01,0.011,0.005,0.015,0.027
356,0,0.007,0.008,0.005,0.011,0.013,0.01,0.009,0.01,0.009,0.01,0.005,0.014,0.027
357,0,0.007,0.007,0.005,0.011,0.013,0.01,0.009,0.01,0.009,0.01,0.005,0.014,0.026
358,0,0.007,0.007,0.005,0.011,0.013,0.01,0.009,0.01,0.009,0.01,0.005,0.014,0.025
359,0,0.007,0.007,0.005,0.011,0.013,0.01,0.009,0.01,0.009,0.01,0.005,0.014,0.026
360,0,0.007,0.007,0.005,0.011,0.013,0.01,0.009,0.01,0.009,0.01,0.005,0.014,0.025
361,0,0.007,0.007,0.005,0.01,0.012,0.01,0.009,0.01,0.008,0.01,0.005,0.014,0.025
362,0,0.007,0.007,0.004,0.01,0.012,0.009,0.008,0.01,0.008,0.01,0.004,0.013,0.024
363,0,0.007,0.007,0.005,0.01,0.012,0.01,0.008,0.009,0.008,0.009,0.005,0.014,0.024
364,0,0.007,0.007,0.004,0.01,0.012,0.009,0.008,0.009,0.008,0.009,0.005,0.013,0.023
365,0,0.007,0.007,0.004,0.01,0.012,0.009,0.008,0.009,0.008,0.009,0.004,0.013,0.023
366,0,0.007,0.007,0.004,0.01,0.012,0.009,0.008,0.009,0.008,0.009,0.004,0.013,0.023
367,0,0.007,0.007,0.004,0.01,0.012,0.009,0.008,0.009,0.008,0.009,0.004,0.013,0.022
368,0,0.006,0.006,0.004,0.009,0.012,0.009,0.008,0.009,0.008,0.009,0.004,0.013,0.022
369,0,0.007,0.007,0.004,0.009,0.012,0.009,0.008,0.009,0.008,0.009,0.004,0.013,0.021
370,0,0.006,0.006,0.004,0.009,0.011,0.009,0.008,0.009,0.007,0.008,0.004,0.013,0.021
371,0,0.006,0.006,0.004,0.009,0.011,0.009,0.007,0.008,0.007,0.008,0.004,0.012,0.021
372,0,0.006,0.006,0.004,0.009,0.011,0.008,0.008,0.008,0.007,0.008,0.004,0.013,0.02
373,0,0.006,0.006,0.004,0.009,0.011,0.008,0.007,0.008,0.007,0.008,0.004,0.012,0.02
374,0,0.006,0.006,0.004,0.009,0.011,0.008,0.007,0.008,0.007,0.008,0.004,0.012,0.02
375,0,0.006,0.006,0.004,0.008,0.011,0.008,0.007,0.008,0.007,0.008,0.004,0.012,0.02
376,0,0.006,0.006,0.004,0.008,0.011,0.008,0.007,0.008,0.007,0.008,0.004,0.012,0.019
377,0,0.006,0.006,0.004,0.008,0.011,0.008,0.007,0.008,0.007,0.007,0.004,0.012,0.019
378,0,0.006,0.006,0.004,0.008,0.011,0.008,0.007,0.007,0.007,0.007,0.004,0.012,0.019
379,0,0.005,0.006,0.003,0.008,0.011,0.008,0.007,0.007,0.007,0.007,0.003,0.012,0.018
380,0,0.005,0.006,0.003,0.008,0.011,0.008,0.007,0.007,0.006,0.007,0.003,0.012,0.018
381,0,0.005,0.006,0.003,0.008,0.011,0.008,0.007,0.007,0.006,0.007,0.003,0.012,0.018
382,0,0.005,0.005,0.003,0.008,0.01,0.008,0.007,0.007,0.006,0.007,0.003,0.012,0.017
383,0,0.005,0.005,0.003,0.008,0.01,0.008,0.007,0.007,0.006,0.007,0.003,0.012,0.017
384,0,0.005,0.005,0.003,0.008,0.01,0.008,0.007,0.007,0.006,0.007,0.003,0.012,0.017
385,0,0.005,0.005,0.003,0.007,0.01,0.007,0.006,0.007,0.006,0.007,0.003,0.011,0.017
386,0,0.005,0.005,0.003,0.007,0.01,0.007,0.006,0.007,0.006,0.007,0.003,0.011,0.016
387,0,0.005,0.005,0.003,0.007,0.01,0.007,0.006,0.007,0.006,0.007,0.003,0.011,0.016
388,0,0.005,0.005,0.003,0.007,0.01,0.007,0.006,0.007,0.006,0.006,0.003,0.011,0.016
389,0,0.005,0.005,0.003,0.007,0.01,0.007,0.006,0.006,0.006,0.006,0.003,0.011,0.016
390,0,0.005,0.005,0.003,0.007,0.01,0.007,0.006,0.006,0.006,0.006,0.003,0.011,0.015
391,0,0.005,0.005,0.003,0.007,0.01,0.007,0.006,0.006,0.006,0.006,0.003,0.011,0.015
392,0,0.005,0.005,0.003,0.007,0.01,0.007,0.006,0.006,0.005,0.006,0.003,0.011,0.015
393,0,0.005,0.004,0.002,0.006,0.01,0.006,0.006,0.006,0.005,0.006,0.002,0.011,0.014
394,0,0.004,0.004,0.003,0.006,0.009,0.006,0.006,0.006,0.005,0.006,0.003,0.011,0.014
395,0,0.005,0.005,0.003,0.007,0.01,0.006,0.006,0.006,0.005,0.006,0.003,0.011,0.014
396,0,0.004,0.005,0.002,0.006,0.009,0.006,0.006,0.006,0.005,0.006,0.002,0.011,0.014
397,0,0.004,0.004,0.002,0.006,0.009,0.006,0.005,0.006,0.005,0.005,0.002,0.01,0.014
398,0,0.004,0.004,0.002,0.006,0.009,0.006,0.005,0.006,0.005,0.005,0.002,0.01,0.013
399,0,0.004,0.004,0.002,0.006,0.009,0.006,0.005,0.006,0.005,0.005,0.002,0.01,0.013
400,0,0.004,0.004,0.002,0.006,0.009,0.006,0.005,0.005,0.005,0.005,0.002,0.01,0.013
401,0,0.004,0.004,0.002,0.006,0.009,0.006,0.005,0.005,0.005,0.005,0.002,0.01,0.013
402,0,0.004,0.004,0.002,0.006,0.009,0.006,0.005,0.005,0.005,0.005,0.002,0.01,0.013
403,0,0.004,0.004,0.002,0.006,0.009,0.006,0.005,0.005,0.005,0.005,0.002,0.01,0.013
404,0,0.004,0.004,0.002,0.006,0.009,0.006,0.005,0.005,0.005,0.005,0.002,0.01,0.012
405,0,0.004,0.004,0.002,0.006,0.009,0.006,0.005,0.005,0.004,0.005,0.002,0.01,0.012
406,0,0.004,0.004,0.002,0.006,0.009,0.006,0.005,0.005,0.004,0.005,0.002,0.01,0.012
407,0,0.004,0.004,0.002,0.006,0.009,0.006,0.005,0.005,0.004,0.005,0.002,0.01,0.012
408,0,0.004,0.004,0.002,0.006,0.009,0.006,0.005,0.005,0.004,0.005,0.002,0.01,0.012
409,0,0.004,0.004,0.002,0.005,0.009,0.005,0.005,0.005,0.004,0.005,0.002,0.01,0.011
410,0,0.004,0.004,0.002,0.005,0.009,0.005,0.005,0.005,0.004,0.004,0.002,0.01,0.011
411,0,0.004,0.004,0.002,0.005,0.009,0.005,0.005,0.005,0.004,0.004,0.002,0.01,0.011
412,0,0.004,0.004,0.002,0.005,0.009,0.005,0.005,0.005,0.004,0.004,0.002,0.01,0.011
413,0,0.004,0.004,0.002,0.005,0.009,0.005,0.005,0.005,0.004,0.004,0.002,0.01,0.011
414,0,0.004,0.004,0.002,0.005,0.008,0.005,0.005,0.005,0.004,0.004,0.002,0.01,0.011
415,0,0.004,0.004,0.002,0.005,0.008,0.005,0.005,0.005,0.004,0.004,0.002,0.01,0.011
416,0,0.004,0.004,0.002,0.005,0.009,0.005,0.005,0.005,0.004,0.004,0.002,0.01,0.01
417,0,0.004,0.004,0.002,0.005,0.008,0.005,0.004,0.005,0.004,0.004,0.002,0.009,0.01
418,0,0.004,0.003,0.002,0.005,0.008,0.005,0.004,0.004,0.004,0.004,0.002,0.009,0.01
419,0,0.003,0.003,0.002,0.005,0.008,0.005,0.004,0.004,0.004,0.004,0.002,0.009,0.01
420,0,0.003,0.003,0.002,0.005,0.008,0.005,0.004,0.004,0.004,0.004,0.002,0.009,0.01
421,0,0.003,0.003,0.002,0.005,0.008,0.005,0.004,0.004,0.004,0.004,0.002,0.009,0.01
422,0,0.003,0.003,0.002,0.005,0.008,0.005,0.004,0.004,0.004,0.004,0.001,0.009,0.009
423,0,0.003,0.003,0.002,0.005,0.008,0.005,0.004,0.004,0.004,0.004,0.001,0.009,0.009
424,0,0.003,0.003,0.002,0.005,0.008,0.005,0.004,0.004,0.004,0.004,0.002,0.009,0.009
425,0,0.003,0.003,0.001,0.005,0.008,0.005,0.004,0.004,0.004,0.004,0.002,0.009,0.009
426,0,0.003,0.003,0.001,0.005,0.008,0.005,0.004,0.004,0.003,0.004,0.001,0.009,0.009
427,0,0.003,0.003,0.002,0.005,0.008,0.005,0.004,0.004,0.004,0.004,0.001,0.009,0.009
