Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
310.00	0.000	0.022	0.022	0.023	0.022	0.027	0.026	0.021
311.00	0.000	0.022	0.022	0.022	0.021	0.026	0.026	0.021
312.00	0.000	0.022	0.022	0.022	0.021	0.026	0.025	0.020
313.00	0.000	0.021	0.021	0.022	0.021	0.026	0.025	0.020
314.00	0.000	0.021	0.021	0.021	0.020	0.025	0.024	0.020
315.00	0.000	0.020	0.020	0.020	0.020	0.025	0.024	0.020
316.00	0.000	0.020	0.020	0.020	0.019	0.025	0.023	0.019
317.00	0.000	0.020	0.019	0.020	0.019	0.024	0.023	0.019
318.00	0.000	0.019	0.019	0.020	0.019	0.024	0.023	0.019
319.00	0.000	0.019	0.019	0.019	0.018	0.024	0.022	0.018
320.00	0.000	0.019	0.018	0.019	0.018	0.023	0.022	0.018
321.00	0.000	0.018	0.018	0.018	0.018	0.023	0.022	0.018
322.00	0.000	0.018	0.018	0.018	0.017	0.023	0.021	0.018
323.00	0.000	0.017	0.017	0.017	0.017	0.022	0.020	0.017
324.00	0.000	0.017	0.017	0.017	0.017	0.022	0.020	0.017
325.00	0.000	0.017	0.017	0.017	0.016	0.022	0.020	0.017
326.00	0.000	0.017	0.017	0.017	0.016	0.022	0.020	0.017
327.00	0.000	0.017	0.016	0.017	0.016	0.022	0.020	0.016
328.00	-0.000	0.016	0.016	0.016	0.016	0.021	0.019	0.016
329.00	0.000	0.016	0.016	0.016	0.015	0.021	0.019	0.016
330.00	0.000	0.016	0.015	0.016	0.015	0.021	0.019	0.016
331.00	0.000	0.016	0.015	0.015	0.015	0.021	0.018	0.016
332.00	-0.000	0.015	0.015	0.015	0.014	0.020	0.018	0.015
333.00	0.000	0.015	0.015	0.015	0.014	0.020	0.018	0.015
334.00	0.000	0.015	0.015	0.015	0.014	0.020	0.017	0.015
335.00	0.000	0.014	0.014	0.014	0.014	0.020	0.017	0.014
336.00	0.000	0.014	0.014	0.014	0.013	0.019	0.017	0.014
337.00	0.000	0.014	0.014	0.014	0.013	0.019	0.016	0.014
338.00	0.000	0.014	0.013	0.014	0.013	0.019	0.016	0.014
339.00	0.001	0.014	0.013	0.014	0.013	0.019	0.016	0.014
340.00	0.002	0.015	0.015	0.015	0.014	0.020	0.017	0.015
341.00	0.000	0.013	0.013	0.013	0.013	0.018	0.015	0.013
342.00	0.000	0.012	0.013	0.013	0.012	0.018	0.015	0.013
343.00	0.000	0.012	0.012	0.012	0.012	0.018	0.014	0.013
344.00	0.000	0.012	0.012	0.012	0.012	0.017	0.015	0.013
345.00	0.000	0.012	0.012	0.012	0.012	0.017	0.014	0.013
346.00	0.000	0.012	0.012	0.012	0.011	0.017	0.014	0.012
347.00	0.000	0.011	0.011	0.012	0.011	0.016	0.013	0.012
348.00	0.000	0.011	0.011	0.011	0.011	0.016	0.013	0.012
349.00	0.000	0.011	0.011	0.011	0.011	0.016	0.013	0.012
350.00	0.000	0.011	0.011	0.011	0.010	0.016	0.013	0.011
351.00	0.000	0.011	0.011	0.011	0.010	0.016	0.013	0.011
352.00	0.000	0.010	0.010	0.010	0.010	0.015	0.013	0.011
353.00	0.000	0.010	0.010	0.010	0.010	0.015	0.013	0.011
354.00	0.000	0.010	0.010	0.010	0.010	0.015	0.012	0.011
355.00	0.000	0.010	0.010	0.010	0.010	0.015	0.012	0.011
356.00	0.001	0.010	0.010	0.010	0.010	0.015	0.012	0.011
357.00	0.000	0.010	0.010	0.010	0.009	0.015	0.012	0.010
358.00	0.000	0.010	0.010	0.009	0.009	0.014	0.012	0.010
359.00	0.001	0.010	0.009	0.009	0.009	0.014	0.011	0.010
360.00	0.000	0.009	0.010	0.009	0.009	0.014	0.011	0.010
361.00	0.000	0.009	0.009	0.009	0.009	0.014	0.011	0.010
362.00	0.000	0.009	0.009	0.009	0.009	0.014	0.011	0.010
363.00	0.000	0.009	0.009	0.009	0.008	0.014	0.010	0.009
364.00	-0.000	0.008	0.008	0.008	0.008	0.013	0.010	0.009
365.00	-0.000	0.008	0.008	0.008	0.008	0.013	0.010	0.009
366.00	-0.000	0.008	0.008	0.008	0.008	0.013	0.010	0.009
367.00	0.000	0.008	0.008	0.008	0.008	0.013	0.010	0.009
368.00	0.000	0.008	0.008	0.008	0.008	0.013	0.010	0.008
369.00	0.000	0.008	0.008	0.008	0.008	0.013	0.009	0.008
370.00	0.000	0.007	0.008	0.007	0.007	0.012	0.009	0.008
371.00	0.000	0.008	0.008	0.007	0.008	0.012	0.009	0.008
372.00	0.000	0.007	0.008	0.007	0.007	0.012	0.009	0.008
373.00	0.000	0.007	0.007	0.007	0.007	0.012	0.009	0.008
374.00	0.000	0.007	0.007	0.007	0.007	0.011	0.009	0.008
375.00	0.000	0.007	0.007	0.007	0.007	0.012	0.009	0.008
376.00	0.000	0.007	0.007	0.007	0.007	0.012	0.009	0.008
377.00	0.000	0.007	0.007	0.007	0.006	0.011	0.008	0.007
378.00	0.000	0.007	0.007	0.007	0.006	0.011	0.008	0.007
379.00	0.000	0.007	0.007	0.007	0.006	0.011	0.008	0.007
380.00	0.000	0.006	0.007	0.006	0.006	0.011	0.008	0.007
381.00	0.000	0.006	0.007	0.006	0.006	0.011	0.008	0.007
382.00	0.000	0.006	0.006	0.006	0.006	0.010	0.008	0.007
383.00	0.000	0.006	0.006	0.006	0.006	0.010	0.008	0.007
384.00	0.000	0.006	0.006	0.006	0.006	0.010	0.007	0.007
385.00	0.000	0.006	0.006	0.006	0.006	0.010	0.007	0.007
386.00	0.000	0.006	0.006	0.006	0.005	0.010	0.007	0.006
387.00	0.000	0.006	0.006	0.006	0.006	0.010	0.007	0.006
388.00	0.000	0.006	0.006	0.006	0.005	0.010	0.007	0.006
389.00	0.000	0.006	0.006	0.005	0.005	0.010	0.007	0.006
390.00	-0.000	0.005	0.006	0.005	0.005	0.009	0.007	0.006
391.00	-0.000	0.005	0.005	0.005	0.005	0.009	0.006	0.006
392.00	-0.000	0.005	0.005	0.005	0.005	0.009	0.006	0.006
393.00	0.000	0.005	0.005	0.005	0.005	0.009	0.006	0.006
394.00	0.000	0.005	0.005	0.005	0.005	0.009	0.006	0.006
395.00	0.000	0.005	0.005	0.005	0.005	0.009	0.006	0.006
396.00	-0.000	0.005	0.005	0.005	0.005	0.009	0.006	0.005
