Wavelength nm.,MilliQ,CC4_28oct24_6R1,C50_16apr25_6R1,CC3_16apr25_01_fridge2,C50_16apr25_20R1,CS1_16apr25_01_fridge2,CC3_16apr25_BOT_fridge2,CP1_16apr25_BOTR1
288,0,0.035,0.035,0.036,0.034,0.036,0.039,0.03
289,0,0.035,0.035,0.036,0.033,0.035,0.039,0.029
290,0,0.034,0.034,0.035,0.032,0.035,0.038,0.029
291,0,0.033,0.033,0.034,0.032,0.034,0.037,0.028
292,0,0.032,0.032,0.033,0.031,0.034,0.036,0.028
293,0,0.032,0.032,0.032,0.03,0.033,0.036,0.027
294,0,0.031,0.031,0.032,0.03,0.033,0.035,0.027
295,0,0.03,0.03,0.031,0.029,0.032,0.034,0.027
296,0,0.03,0.03,0.03,0.028,0.032,0.033,0.026
297,0,0.029,0.029,0.03,0.028,0.032,0.033,0.026
298,0,0.029,0.029,0.029,0.027,0.031,0.033,0.025
299,0,0.028,0.028,0.028,0.027,0.031,0.032,0.025
300,0,0.027,0.027,0.028,0.026,0.03,0.031,0.024
301,0,0.027,0.027,0.027,0.026,0.03,0.031,0.024
302,0,0.026,0.026,0.027,0.025,0.03,0.03,0.024
303,0,0.026,0.026,0.026,0.025,0.029,0.03,0.024
304,0,0.025,0.025,0.026,0.024,0.029,0.029,0.023
305,0,0.025,0.025,0.025,0.024,0.028,0.028,0.023
306,0,0.024,0.024,0.024,0.023,0.028,0.028,0.022
307,0,0.024,0.023,0.024,0.023,0.028,0.028,0.022
308,0,0.023,0.023,0.023,0.022,0.027,0.027,0.022
309,0,0.023,0.022,0.023,0.022,0.027,0.026,0.021
310,0,0.022,0.022,0.023,0.022,0.027,0.026,0.021
311,0,0.022,0.022,0.022,0.021,0.026,0.026,0.021
312,0,0.022,0.022,0.022,0.021,0.026,0.025,0.02
313,0,0.021,0.021,0.022,0.021,0.026,0.025,0.02
314,0,0.021,0.021,0.021,0.02,0.025,0.024,0.02
315,0,0.02,0.02,0.02,0.02,0.025,0.024,0.02
316,0,0.02,0.02,0.02,0.019,0.025,0.023,0.019
317,0,0.02,0.019,0.02,0.019,0.024,0.023,0.019
318,0,0.019,0.019,0.02,0.019,0.024,0.023,0.019
319,0,0.019,0.019,0.019,0.018,0.024,0.022,0.018
320,0,0.019,0.018,0.019,0.018,0.023,0.022,0.018
321,0,0.018,0.018,0.018,0.018,0.023,0.022,0.018
322,0,0.018,0.018,0.018,0.017,0.023,0.021,0.018
323,0,0.017,0.017,0.017,0.017,0.022,0.02,0.017
324,0,0.017,0.017,0.017,0.017,0.022,0.02,0.017
325,0,0.017,0.017,0.017,0.016,0.022,0.02,0.017
326,0,0.017,0.017,0.017,0.016,0.022,0.02,0.017
327,0,0.017,0.016,0.017,0.016,0.022,0.02,0.016
328,0,0.016,0.016,0.016,0.016,0.021,0.019,0.016
329,0,0.016,0.016,0.016,0.015,0.021,0.019,0.016
330,0,0.016,0.015,0.016,0.015,0.021,0.019,0.016
331,0,0.016,0.015,0.015,0.015,0.021,0.018,0.016
332,0,0.015,0.015,0.015,0.014,0.02,0.018,0.015
333,0,0.015,0.015,0.015,0.014,0.02,0.018,0.015
334,0,0.015,0.015,0.015,0.014,0.02,0.017,0.015
335,0,0.014,0.014,0.014,0.014,0.02,0.017,0.014
336,0,0.014,0.014,0.014,0.013,0.019,0.017,0.014
337,0,0.014,0.014,0.014,0.013,0.019,0.016,0.014
338,0,0.014,0.013,0.014,0.013,0.019,0.016,0.014
339,0.001,0.014,0.013,0.014,0.013,0.019,0.016,0.014
340,0.002,0.015,0.015,0.015,0.014,0.02,0.017,0.015
341,0,0.013,0.013,0.013,0.013,0.018,0.015,0.013
342,0,0.012,0.013,0.013,0.012,0.018,0.015,0.013
343,0,0.012,0.012,0.012,0.012,0.018,0.014,0.013
344,0,0.012,0.012,0.012,0.012,0.017,0.015,0.013
345,0,0.012,0.012,0.012,0.012,0.017,0.014,0.013
346,0,0.012,0.012,0.012,0.011,0.017,0.014,0.012
347,0,0.011,0.011,0.012,0.011,0.016,0.013,0.012
348,0,0.011,0.011,0.011,0.011,0.016,0.013,0.012
349,0,0.011,0.011,0.011,0.011,0.016,0.013,0.012
350,0,0.011,0.011,0.011,0.01,0.016,0.013,0.011
351,0,0.011,0.011,0.011,0.01,0.016,0.013,0.011
352,0,0.01,0.01,0.01,0.01,0.015,0.013,0.011
353,0,0.01,0.01,0.01,0.01,0.015,0.013,0.011
354,0,0.01,0.01,0.01,0.01,0.015,0.012,0.011
355,0,0.01,0.01,0.01,0.01,0.015,0.012,0.011
356,0.001,0.01,0.01,0.01,0.01,0.015,0.012,0.011
357,0,0.01,0.01,0.01,0.009,0.015,0.012,0.01
358,0,0.01,0.01,0.009,0.009,0.014,0.012,0.01
359,0.001,0.01,0.009,0.009,0.009,0.014,0.011,0.01
360,0,0.009,0.01,0.009,0.009,0.014,0.011,0.01
361,0,0.009,0.009,0.009,0.009,0.014,0.011,0.01
362,0,0.009,0.009,0.009,0.009,0.014,0.011,0.01
363,0,0.009,0.009,0.009,0.008,0.014,0.01,0.009
364,0,0.008,0.008,0.008,0.008,0.013,0.01,0.009
365,0,0.008,0.008,0.008,0.008,0.013,0.01,0.009
366,0,0.008,0.008,0.008,0.008,0.013,0.01,0.009
367,0,0.008,0.008,0.008,0.008,0.013,0.01,0.009
368,0,0.008,0.008,0.008,0.008,0.013,0.01,0.008
369,0,0.008,0.008,0.008,0.008,0.013,0.009,0.008
370,0,0.007,0.008,0.007,0.007,0.012,0.009,0.008
371,0,0.008,0.008,0.007,0.008,0.012,0.009,0.008
372,0,0.007,0.008,0.007,0.007,0.012,0.009,0.008
373,0,0.007,0.007,0.007,0.007,0.012,0.009,0.008
374,0,0.007,0.007,0.007,0.007,0.011,0.009,0.008
375,0,0.007,0.007,0.007,0.007,0.012,0.009,0.008
376,0,0.007,0.007,0.007,0.007,0.012,0.009,0.008
377,0,0.007,0.007,0.007,0.006,0.011,0.008,0.007
378,0,0.007,0.007,0.007,0.006,0.011,0.008,0.007
379,0,0.007,0.007,0.007,0.006,0.011,0.008,0.007
380,0,0.006,0.007,0.006,0.006,0.011,0.008,0.007
381,0,0.006,0.007,0.006,0.006,0.011,0.008,0.007
382,0,0.006,0.006,0.006,0.006,0.01,0.008,0.007
383,0,0.006,0.006,0.006,0.006,0.01,0.008,0.007
384,0,0.006,0.006,0.006,0.006,0.01,0.007,0.007
385,0,0.006,0.006,0.006,0.006,0.01,0.007,0.007
386,0,0.006,0.006,0.006,0.005,0.01,0.007,0.006
387,0,0.006,0.006,0.006,0.006,0.01,0.007,0.006
388,0,0.006,0.006,0.006,0.005,0.01,0.007,0.006
389,0,0.006,0.006,0.005,0.005,0.01,0.007,0.006
390,0,0.005,0.006,0.005,0.005,0.009,0.007,0.006
391,0,0.005,0.005,0.005,0.005,0.009,0.006,0.006
392,0,0.005,0.005,0.005,0.005,0.009,0.006,0.006
393,0,0.005,0.005,0.005,0.005,0.009,0.006,0.006
394,0,0.005,0.005,0.005,0.005,0.009,0.006,0.006
395,0,0.005,0.005,0.005,0.005,0.009,0.006,0.006
396,0,0.005,0.005,0.005,0.005,0.009,0.006,0.005
397,0,0.005,0.005,0.005,0.005,0.008,0.006,0.005
398,0,0.005,0.005,0.004,0.004,0.008,0.006,0.005
399,0,0.005,0.005,0.004,0.004,0.008,0.006,0.005
400,0,0.005,0.005,0.004,0.004,0.008,0.005,0.005
401,0,0.004,0.005,0.004,0.004,0.008,0.005,0.005
402,0,0.004,0.005,0.004,0.004,0.008,0.005,0.005
403,0,0.004,0.005,0.004,0.004,0.008,0.005,0.005
404,0,0.004,0.005,0.004,0.004,0.008,0.005,0.005
405,0,0.004,0.005,0.004,0.004,0.008,0.005,0.005
406,0,0.004,0.004,0.004,0.004,0.008,0.005,0.005
407,0,0.004,0.004,0.004,0.004,0.008,0.005,0.005
408,0,0.004,0.004,0.004,0.004,0.008,0.005,0.005
409,0,0.004,0.004,0.004,0.004,0.007,0.005,0.005
410,0,0.004,0.004,0.004,0.004,0.007,0.005,0.004
411,0,0.004,0.004,0.004,0.004,0.007,0.005,0.004
412,0,0.004,0.004,0.003,0.004,0.007,0.005,0.004
413,0,0.004,0.004,0.003,0.003,0.007,0.005,0.004
414,0,0.004,0.004,0.004,0.003,0.007,0.005,0.004
415,0,0.004,0.004,0.003,0.003,0.007,0.004,0.004
416,0,0.004,0.004,0.003,0.003,0.007,0.004,0.004
417,0,0.003,0.004,0.003,0.003,0.007,0.004,0.004
418,0,0.003,0.004,0.003,0.003,0.007,0.004,0.004
419,0,0.003,0.004,0.003,0.003,0.007,0.004,0.004
420,0,0.003,0.003,0.003,0.003,0.007,0.004,0.004
421,0,0.003,0.003,0.003,0.003,0.006,0.004,0.004
422,0,0.003,0.003,0.003,0.003,0.006,0.004,0.004
423,0,0.003,0.003,0.003,0.003,0.006,0.004,0.004
424,0,0.003,0.003,0.003,0.003,0.006,0.004,0.004
425,0,0.003,0.003,0.003,0.003,0.006,0.004,0.004
426,0,0.003,0.003,0.003,0.003,0.006,0.004,0.004
427,0,0.003,0.003,0.003,0.003,0.006,0.004,0.003
428,0,0.003,0.003,0.003,0.003,0.006,0.004,0.003
429,0,0.003,0.003,0.003,0.003,0.006,0.004,0.003
430,0,0.003,0.003,0.003,0.003,0.006,0.003,0.003
431,0,0.003,0.003,0.002,0.002,0.006,0.003,0.003
432,0,0.003,0.003,0.002,0.003,0.006,0.003,0.003
433,0,0.003,0.003,0.002,0.002,0.006,0.003,0.003
434,0,0.002,0.003,0.002,0.002,0.005,0.003,0.003
435,0,0.002,0.003,0.002,0.002,0.005,0.003,0.003
436,0,0.002,0.003,0.002,0.002,0.005,0.003,0.003
437,0,0.002,0.003,0.002,0.002,0.005,0.003,0.003
438,0,0.002,0.003,0.002,0.002,0.005,0.003,0.003
439,0,0.002,0.003,0.002,0.002,0.005,0.003,0.003
440,0,0.002,0.003,0.002,0.002,0.005,0.003,0.003
441,0,0.002,0.003,0.002,0.002,0.005,0.003,0.003
442,0,0.002,0.002,0.002,0.002,0.005,0.003,0.003
443,0,0.002,0.002,0.002,0.002,0.005,0.003,0.003
444,0,0.002,0.002,0.002,0.002,0.005,0.003,0.003
445,0,0.002,0.002,0.002,0.002,0.005,0.003,0.003
446,0,0.002,0.002,0.002,0.002,0.005,0.002,0.003
447,0,0.002,0.002,0.002,0.002,0.005,0.003,0.003
448,0,0.002,0.002,0.002,0.002,0.005,0.002,0.002
449,0,0.002,0.002,0.002,0.002,0.005,0.002,0.002
