Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...
331.00	0.005	0.011	0.012	0.020
332.00	0.005	0.011	0.011	0.020
333.00	0.005	0.010	0.011	0.020
334.00	0.005	0.010	0.011	0.019
335.00	0.005	0.010	0.011	0.019
336.00	0.005	0.010	0.011	0.019
337.00	0.005	0.010	0.011	0.019
338.00	0.005	0.010	0.011	0.019
339.00	0.005	0.010	0.011	0.019
340.00	0.006	0.011	0.012	0.019
341.00	0.005	0.010	0.010	0.018
342.00	0.005	0.009	0.010	0.018
343.00	0.005	0.009	0.010	0.018
344.00	0.005	0.009	0.010	0.018
345.00	0.005	0.009	0.010	0.018
346.00	0.005	0.009	0.009	0.017
347.00	0.005	0.009	0.009	0.017
348.00	0.005	0.008	0.009	0.017
349.00	0.005	0.008	0.009	0.017
350.00	0.004	0.008	0.009	0.016
351.00	0.004	0.008	0.008	0.016
352.00	0.004	0.008	0.008	0.016
353.00	0.004	0.008	0.008	0.016
354.00	0.004	0.007	0.008	0.016
355.00	0.004	0.007	0.008	0.015
356.00	0.004	0.007	0.008	0.015
357.00	0.004	0.007	0.008	0.015
358.00	0.004	0.007	0.008	0.015
359.00	0.004	0.007	0.007	0.015
360.00	0.004	0.007	0.007	0.014
361.00	0.004	0.007	0.007	0.014
362.00	0.004	0.006	0.007	0.014
363.00	0.004	0.006	0.007	0.013
364.00	0.004	0.006	0.007	0.014
365.00	0.004	0.006	0.007	0.014
366.00	0.004	0.006	0.007	0.013
367.00	0.004	0.007	0.007	0.013
368.00	0.004	0.006	0.006	0.013
369.00	0.003	0.006	0.006	0.013
370.00	0.003	0.006	0.006	0.013
371.00	0.003	0.005	0.006	0.012
372.00	0.003	0.006	0.006	0.012
373.00	0.003	0.005	0.006	0.012
374.00	0.003	0.005	0.006	0.012
375.00	0.003	0.005	0.006	0.012
376.00	0.003	0.005	0.006	0.012
377.00	0.003	0.005	0.005	0.012
378.00	0.003	0.005	0.005	0.011
379.00	0.003	0.005	0.005	0.011
380.00	0.003	0.005	0.005	0.011
381.00	0.003	0.005	0.005	0.011
382.00	0.003	0.005	0.005	0.011
383.00	0.003	0.004	0.005	0.011
384.00	0.003	0.004	0.005	0.011
385.00	0.003	0.004	0.005	0.010
386.00	0.003	0.004	0.005	0.010
387.00	0.003	0.004	0.005	0.010
388.00	0.003	0.004	0.005	0.010
389.00	0.002	0.004	0.004	0.010
390.00	0.003	0.004	0.004	0.010
391.00	0.003	0.004	0.004	0.010
392.00	0.002	0.004	0.004	0.010
393.00	0.002	0.004	0.004	0.009
394.00	0.002	0.004	0.004	0.009
395.00	0.002	0.004	0.004	0.009
396.00	0.002	0.004	0.004	0.009
397.00	0.002	0.004	0.004	0.009
