Reservoir,Site,Depth_m,Date,Rep,Dilution,Sample.Name,Max.Fl.Ex,Max.Fl.Em,Max.Fl,B.,T.,A.,C.,M.,N.,FI.,BIX.,HIX.,T.B,T.M.,T.N.,T.C.,A.T.,A.C.,A.M.,M.C.,C.N.,A254,a254,A350,a350,NOTES,NOTES_extra,TIME
CCR,90,1.5,2/17/2025,1,1,20250327_CC3_17feb25_15R1.csv,315,316,3.312416479,0.042549466,0.085013894,0.251139862,0.122284745,0.10795644,0.091770285,1.468483816,0.664610719,5.273067003,1.998001432,0.787483305,0.926377137,0.695212586,2.954103733,2.053730095,2.326307371,0.882828349,1.332509158,0.055,12.4362,0.012,2.5333,,,
CCR,90,5,2/17/2025,1,1,20250327_CC3_17feb25_BOTR1.csv,300,300,3.001088489,0.040964659,0.062011603,0.251419665,0.122889651,0.109016122,0.088729708,1.43067592,0.647756472,5.874637537,1.513782955,0.568829648,0.698882076,0.50461208,4.054397152,2.04589778,2.306261305,0.8871058,1.384988793,0.056,12.6665,0.012,2.5333,,,
CCR,88,0.1,2/17/2025,1,1,20250327_CC4_17feb25_01R1.csv,315,314,5.480788373,0.060507922,0.074266673,0.261818977,0.125292592,0.113681629,0.095098422,1.445921234,0.644542323,4.696369975,1.227387593,0.653286493,0.780945374,0.592745923,3.525389877,2.089660478,2.303089589,0.907329219,1.31750442,0.061,13.818,0.014,2.9939,,,
CCR,88,1.5,2/17/2025,1,1,20250327_CC4_17feb25_15R1.csv,315,316,6.754134976,0.109637029,0.112623997,0.278849835,0.132644091,0.117217565,0.111443526,1.463482008,0.653298841,3.598925712,1.027244155,0.960811611,1.010592551,0.849069086,2.475936229,2.102240911,2.378908278,0.883699859,1.190235952,0.064,14.5089,0.015,3.2242,,,
CCR,88,6,2/17/2025,1,1,20250327_CC4_17feb25_6R1.csv,310,310,4.598148557,0.046153775,0.067624867,0.267351426,0.130695653,0.112462571,0.092390909,1.442179832,0.638869826,5.575027469,1.465207722,0.601309985,0.731942867,0.517422466,3.953448451,2.045603046,2.377248027,0.860492057,1.414594293,0.06,13.5877,0.013,2.7636,,,
CCR,88,9,2/17/2025,1,1,20250327_CC4_17feb25_9R1.csv,300,300,6.253587159,0.063349292,0.073133393,0.278341629,0.135335521,0.118021697,0.098705854,1.47392389,0.657664593,4.780171098,1.154446891,0.619660582,0.740922556,0.540385797,3.805944398,2.056678295,2.358393722,0.872067406,1.371099242,0.062,14.0483,0.014,2.9939,,,
CCR,88,12,2/17/2025,1,1,20250327_CC4_17feb25_BOTR1.csv,305,304,8.170921148,0.046035884,0.068095491,0.26012283,0.126143996,0.109777955,0.093972508,1.460575254,0.647959491,5.03566926,1.479182883,0.620302056,0.724632053,0.539823483,3.819971419,2.062110277,2.369536124,0.870259059,1.342350001,0.061,13.818,0.015,3.2242,,,
CCR,98,0.1,2/17/2025,2,1,20250327_CP1_17feb25_01R2.csv,330,330,2.80222177,0.011571216,0.025594417,0.150420467,0.089214693,0.059865073,0.042029187,1.397327458,0.546572463,8.31252036,2.211903903,0.427535048,0.608967681,0.286885668,5.87708124,1.686050379,2.512658209,0.671022574,2.122684222,0.04,8.9817,0.011,2.303,,,
CCR,101,0.1,2/17/2025,2,1,20250327_CS1_17feb25_01R2.csv,315,316,7.16540392,0.015827701,0.026841962,0.150459952,0.087667572,0.060691766,0.042768159,1.389429851,0.548369207,7.102802972,1.695885068,0.44226694,0.627615552,0.306178912,5.60540071,1.716255492,2.479083421,0.692294369,2.049832717,0.041,9.212,0.013,2.7636,,,
CCR,90,0.1,4/16/2025,1,1,20250417_CC3_16apr25_01_fridge1.csv,300,300,1.995759344,0.07783935,0.097060333,0.237485184,0.107238553,0.102838235,0.09878501,1.404779229,0.653306773,3.767384456,1.24693145,0.943815622,0.98254111,0.905088052,2.446778992,2.214550431,2.309308235,0.958967017,1.085575163,0.06,13.5877,0.011,2.5333,FRIDGE_TEST,,
CCR,90,0.1,4/16/2025,2,1,20250417_CC3_16apr25_01R2.csv,300,300,1.805912561,0.060357981,0.082641969,0.214154978,0.094089112,0.093544568,0.086602746,1.43011775,0.677762968,4.017211989,1.369197053,0.883450221,0.954264997,0.878337225,2.591358601,2.276086722,2.289336329,0.994212468,1.086444899,0.056,12.6665,0.011,2.5333,,,
CCR,90,5.5,4/16/2025,1,1,20250417_CC3_16apr25_BOT_fridge1.csv,300,300,4.355616,0.074263135,0.088704589,0.242499284,0.113587858,0.114679294,0.098234763,1.441166611,0.644146317,4.095369858,1.194463293,0.773501352,0.902985726,0.780933727,2.733785107,2.134904991,2.114586477,1.009608741,1.15628983,0.063,14.2786,0.013,2.9939,FRIDGE_TEST,,
CCR,90,5.5,4/16/2025,2,1,20250417_CC3_16apr25_BOTR2.csv,300,300,5.857634515,0.070266966,0.082141372,0.238169837,0.11094289,0.103642931,0.092598738,1.424878763,0.642553849,4.069393031,1.168989885,0.792541971,0.887067952,0.7403933,2.899511293,2.146778734,2.297984395,0.934200745,1.1981037,0.064,14.5089,0.014,3.2242,,,
CCR,101,0.1,4/16/2025,1,1,20250417_CS1_16apr25_01_fridge1.csv,300,300,12.52684075,0.022672576,0.031041454,0.147932627,0.086245488,0.057448713,0.04423416,1.379439709,0.560774727,5.285426417,1.369118979,0.540333323,0.701752993,0.359919742,4.76564749,1.715250614,2.575038143,0.666106876,1.949748546,0.05,11.2847,0.015,3.4545,FRIDGE_TEST,,
CCR,101,0.1,4/16/2025,2,1,20250417_CS1_16apr25_01R2.csv,300,300,8.345920185,0.014467491,0.025128076,0.138960066,0.083303214,0.055018365,0.039214447,1.388400965,0.550276213,7.159395633,1.736864845,0.456721618,0.640786199,0.301645944,5.530071739,1.66812371,2.525703311,0.66045909,2.12429907,0.044,9.9029,0.014,3.2242,,,
CCR,50,20,4/16/2025,1,1,20250421_C50_16apr25_20R1.csv,300,300,1.974674729,0.08639919,0.080519634,0.261707981,0.126948528,0.113657563,0.094519541,1.457915692,0.663839421,3.463824158,0.931948953,0.70844062,0.851883469,0.634269933,3.250238059,2.061528277,2.302600665,0.8953043,1.343092939,0.057,13.1271,0.01,2.303,,,
CCR,50,6,4/16/2025,1,1,20250421_C50_16apr25_6R1.csv,300,300,2.278938266,0.060271628,0.084497413,0.220826745,0.096352711,0.096817471,0.091580165,1.411906532,0.674568554,4.008178461,1.401943428,0.872749641,0.922660628,0.876959373,2.613414269,2.29185814,2.280856366,1.004823527,1.052113309,0.058,13.3574,0.011,2.5333,,,
CCR,90,0.1,4/16/2025,2,1,20250421_CC3_16apr25_01_fridge2.csv,300,300,2.19868129,0.088818568,0.199489529,0.236176825,0.103503727,0.106108886,0.126333532,1.422875945,0.674850545,3.149093564,2.24603407,1.880045454,1.579070309,1.927365655,1.183905871,2.281819515,2.225796852,1.025169711,0.81928943,0.059,13.5877,0.011,2.5333,FRIDGE_TEST,,
CCR,90,5.5,4/16/2025,2,1,20250421_CC3_16apr25_BOT_fridge2.csv,300,300,4.392335099,0.070647118,0.087366958,0.23902382,0.11300884,0.108824978,0.094685227,1.440944599,0.639750998,4.180574409,1.236666978,0.802820812,0.922709488,0.773098436,2.735860631,2.115089576,2.196405854,0.962977572,1.193521348,0.063,14.5089,0.013,2.9939,FRIDGE_TEST,,
CCR,88,6,10/28/2024,1,1,20250421_CC4_28oct24_6R1.csv,305,304,3.161222281,0.057960745,0.080784549,0.267516142,0.120923213,0.1169047,0.10082425,1.468165186,0.692123926,4.761037709,1.393780384,0.691029094,0.80124126,0.668064859,3.311476574,2.212281132,2.288326657,0.966768064,1.199346514,0.059,13.5877,0.011,2.5333,,,
CCR,98,0.8,4/16/2025,1,1,20250421_CP1_16apr25_BOTR1.csv,330,330,2.120325275,0.020937983,0.04248398,0.159345615,0.093707086,0.063742653,0.05073622,1.395443105,0.547711931,7.643117871,2.029038791,0.666492181,0.83735012,0.453369981,3.750722393,1.700464939,2.499827149,0.680233007,1.846946546,0.044,10.1332,0.011,2.5333,,,
CCR,101,0.1,4/16/2025,2,1,20250421_CS1_16apr25_01_fridge2.csv,300,300,14.06363463,0.032035814,0.056886059,0.149937323,0.087874481,0.059875281,0.051409878,1.375178732,0.565118999,4.644876303,1.775702001,0.950075868,1.106520017,0.647355853,2.635748102,1.70626696,2.504160665,0.681372798,1.709291749,0.051,11.7453,0.016,3.6848,FRIDGE_TEST,,
