Reservoir,Site,Depth_m,Date,Rep,Dilution,Sample Name,Max_FL_Ex ,Max_FL_Em ,Max_FL ,B,T,A,C,M,N,FI,BIX,HIX,T_B,T_M,T_N,T_C,A_T,A_C,A_M,M_C,C_N,a254_m,a350_m,FLAG,Notes_flag,TIME
CCR,101,0.1,2/28/2022,2,1,20220818_C28feb22_HPBr2.csv,310,310,7.840297149,0.013485906,0.027668348,0.157408442,0.091797334,0.061981777,0.045630687,1.431095648,0.555924422,7.099901011,2.05164919,0.446394883,0.606353971,0.301406884,5.689115945,1.714738709,2.539592249,0.675202372,2.011745595,,,,,
CCR,301,0.1,2/28/2022,2,1,20220818_C28feb22_SMBr2.csv,305,304,4.312084141,0.026287745,0.029876297,0.096529646,0.056319415,0.043534783,0.036215768,1.446381953,0.625405675,4.562734334,1.136510478,0.686262689,0.824952744,0.530479538,3.230977563,1.713967484,2.217299351,0.772997784,1.555107568,,,,,
CCR,400,0.1,2/28/2022,1,1,20220818_C28feb22_TCTr1.csv,300,300,6.443571792,0.029037845,0.03919588,0.158527711,0.092167451,0.065510016,0.050589727,1.532444313,0.603164953,5.573193865,1.349820571,0.598318896,0.774779439,0.425268141,4.044499286,1.719996694,2.419900346,0.710771704,1.821860996,,,,,
BVR,50,0.1,5/5/2022,1,1,20221010_B5may22_0_1m_r0.csv,300,300,9.319320251,0.068357576,0.07924328,0.14969614,0.064750629,0.06597685,0.068929783,1.42292912,0.700729897,2.669612193,1.159246482,1.201077048,1.149623235,1.223822553,1.889070465,2.31188704,2.268919177,1.018937591,0.939370852,,,,,
BVR,50,3,5/5/2022,1,1,20221010_B5may22_3m_r0.csv,300,300,10.42163209,0.078150164,0.090998857,0.166295762,0.075708884,0.07478355,0.078859324,1.484588644,0.691386099,2.605839184,1.16441032,1.216829859,1.15393909,1.201957445,1.827448912,2.196515826,2.223694401,0.987777738,0.960049871,,,,,
BVR,50,9,5/5/2022,1,1,20221010_B5may22_9m_r0.csv,300,300,7.445164955,0.041276366,0.054003599,0.128505096,0.06689883,0.058847784,0.058179576,1.508882893,0.706326212,3.43289692,1.308341895,0.917682802,0.928222633,0.807242806,2.379565407,1.920887057,2.183686249,0.879653411,1.149867953,,,PRECIP,"Sample from BVR that had brown/red precipitate in bottom of sample. When poured sampled there was no precip in the cuvette, but noticebale precip was in sample. Probably shouldn't use this data",
BVR,50,0.1,7/25/2022,1,1,20221010_B25jul22_0_1m_r1.csv,300,300,27.80958613,0.171918409,0.18312311,0.309837171,0.143378274,0.145183393,0.147507411,1.593213069,0.757284013,2.268517905,1.065174526,1.261322707,1.241450235,1.277202639,1.691961054,2.160977124,2.134108898,1.012589904,0.972007258,,,,,
BVR,50,3,7/25/2022,2,1,20221010_B25jul22_3m_r2.csv,300,300,20.72207141,0.129018642,0.138259682,0.24459807,0.120188223,0.118887144,0.123758932,1.578002261,0.748102826,2.33068994,1.071625617,1.162948973,1.117169324,1.150359649,1.769120733,2.035125104,2.057397139,0.989174655,0.971147871,,,,,
BVR,50,8,7/25/2022,1,1,20221010_B25july22_8m_r1.csv,300,300,10.71715473,0.122521672,0.09375181,0.147831373,0.078703731,0.089843174,0.091175064,1.598123029,0.714395871,2.153663954,0.765185523,1.043505091,1.028261523,1.191199051,1.576837541,1.878327382,1.645438003,1.141536405,0.863215532,,,PRECIP,"Sample from BVR that had brown/red precipitate in bottom of sample. When poured sampled there was no precip in the cuvette, but noticebale precip was in sample. Probably shouldn't use this data",
CCR,50,0.1,4/20/2022,2,1,20221010_C20apr22_0_1m_r2.csv,300,300,3.717537955,0.051878941,0.066475755,0.172659963,0.079080627,0.076002707,0.069666775,1.430680172,0.683678175,3.669707058,1.281362985,0.874649831,0.954195959,0.840607333,2.597337377,2.183340844,2.271760699,0.961078711,1.135126856,,,,,
CCR,50,1.5,4/20/2022,1,1,20221010_C20apr22_1_5m_r1.csv,300,300,4.501535994,0.050831523,0.065428544,0.176588541,0.080514873,0.076880115,0.070504826,1.439247435,0.679897262,4.015392354,1.287164736,0.851046385,0.928000925,0.812626801,2.698952637,2.193241247,2.296933885,0.954856064,1.141976765,,,,,
CCR,50,9,4/20/2022,2,1,20221010_C20apr22_9m_r2.csv,300,300,5.115990792,0.037827804,0.059473856,0.184153202,0.086467627,0.08021941,0.070111443,1.469352033,0.688724757,4.508124371,1.572225957,0.74138985,0.848276018,0.68781645,3.096372322,2.129735818,2.295619011,0.927739232,1.233288355,,,,,
CCR,50,21,4/20/2022,1,1,20221010_C20apr22_21m_r1.csv,300,300,4.205252996,0.039874028,0.059526883,0.185197929,0.088141617,0.082662219,0.071389268,1.512840082,0.697946836,4.795682507,1.492873587,0.720122013,0.833835178,0.675355014,3.111164543,2.101140573,2.240418072,0.937834148,1.234662009,,,,,
CCR,50,21,4/20/2022,2,1,20221010_C20apr22_21m_r2.csv,300,300,5.468437517,0.041218101,0.056282788,0.189989315,0.089281375,0.082602072,0.070649521,1.489904407,0.703097995,4.80810438,1.365487153,0.681372586,0.796647824,0.630397861,3.375620215,2.127983764,2.300055074,0.925188178,1.263722282,,,,,
BVR,50,3,6/7/2022,1,1,20221205_B07jun22_3m_r1.csv,300,300,19.77817321,0.111708403,0.122170493,0.214831776,0.099702822,0.092347602,0.102833321,1.48101956,0.661584348,2.334714694,1.093655358,1.322941694,1.188043832,1.22534639,1.758458776,2.154721113,2.326338432,0.926228568,0.96955754,,,,,
BVR,50,0.1,6/7/2022,2,1,20221205_B7june22_01m_r2.csv,300,300,22.26311846,0.131886197,0.144358158,0.212259088,0.091612286,0.090610819,0.107001355,1.446207766,0.657018752,2.004936059,1.094566085,1.593166903,1.349124576,1.575751067,1.470364345,2.316928186,2.34253581,0.989068417,0.856178748,,,,,
