Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
302.00	0.001	0.027	0.029	0.031	0.031	0.025	0.026
303.00	0.001	0.027	0.028	0.031	0.030	0.025	0.025
304.00	0.001	0.026	0.028	0.030	0.029	0.024	0.025
305.00	0.001	0.026	0.027	0.030	0.029	0.024	0.025
306.00	0.001	0.025	0.027	0.029	0.028	0.023	0.024
307.00	0.001	0.025	0.027	0.028	0.028	0.023	0.024
308.00	0.000	0.024	0.026	0.028	0.027	0.022	0.024
309.00	0.001	0.023	0.026	0.028	0.027	0.022	0.023
310.00	0.001	0.023	0.025	0.027	0.026	0.022	0.023
311.00	0.000	0.023	0.025	0.027	0.026	0.021	0.023
312.00	0.001	0.022	0.025	0.027	0.026	0.021	0.023
313.00	0.000	0.022	0.025	0.026	0.025	0.021	0.022
314.00	0.001	0.021	0.024	0.025	0.025	0.020	0.022
315.00	0.001	0.021	0.024	0.025	0.024	0.020	0.022
316.00	0.001	0.020	0.023	0.024	0.024	0.019	0.022
317.00	0.001	0.020	0.023	0.024	0.023	0.019	0.021
318.00	0.000	0.020	0.023	0.024	0.023	0.019	0.021
319.00	0.000	0.019	0.023	0.023	0.022	0.018	0.021
320.00	0.001	0.019	0.022	0.023	0.022	0.018	0.021
321.00	0.001	0.019	0.022	0.023	0.022	0.018	0.020
322.00	0.000	0.018	0.022	0.022	0.021	0.017	0.020
323.00	0.000	0.018	0.022	0.022	0.021	0.017	0.020
324.00	0.000	0.018	0.022	0.022	0.021	0.017	0.020
325.00	0.000	0.018	0.022	0.022	0.021	0.016	0.020
326.00	0.001	0.017	0.021	0.021	0.020	0.016	0.019
327.00	0.000	0.017	0.021	0.021	0.020	0.016	0.019
328.00	0.000	0.016	0.020	0.020	0.019	0.016	0.019
329.00	0.000	0.016	0.020	0.020	0.019	0.015	0.019
330.00	0.001	0.016	0.020	0.020	0.019	0.015	0.019
331.00	0.001	0.016	0.020	0.020	0.019	0.015	0.018
332.00	0.000	0.015	0.019	0.019	0.018	0.015	0.018
333.00	0.000	0.015	0.019	0.019	0.018	0.014	0.018
334.00	0.001	0.015	0.019	0.019	0.018	0.014	0.018
335.00	0.000	0.015	0.019	0.018	0.018	0.014	0.018
336.00	0.000	0.014	0.018	0.018	0.017	0.013	0.017
337.00	0.001	0.014	0.018	0.017	0.017	0.013	0.017
338.00	0.000	0.014	0.018	0.017	0.016	0.013	0.017
339.00	0.001	0.014	0.018	0.018	0.016	0.013	0.017
340.00	0.002	0.015	0.019	0.019	0.017	0.014	0.018
341.00	0.001	0.014	0.018	0.017	0.016	0.013	0.016
342.00	0.000	0.012	0.017	0.016	0.015	0.012	0.016
343.00	0.001	0.012	0.017	0.016	0.015	0.012	0.015
344.00	0.001	0.013	0.016	0.016	0.015	0.012	0.015
345.00	0.000	0.012	0.016	0.016	0.014	0.011	0.015
346.00	0.000	0.012	0.016	0.015	0.014	0.011	0.015
347.00	0.000	0.011	0.016	0.015	0.014	0.011	0.014
348.00	0.000	0.011	0.016	0.015	0.014	0.011	0.014
349.00	0.000	0.011	0.016	0.015	0.014	0.011	0.014
350.00	0.000	0.011	0.015	0.014	0.013	0.011	0.014
