Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
253.00	0.000	0.061	0.058	0.058	0.057	0.058	0.063	0.058	0.055	0.058	0.057
254.00	0.000	0.060	0.058	0.057	0.056	0.057	0.062	0.057	0.055	0.057	0.057
255.00	-0.000	0.059	0.057	0.057	0.056	0.057	0.061	0.057	0.054	0.057	0.056
256.00	-0.000	0.059	0.057	0.056	0.055	0.056	0.061	0.056	0.054	0.056	0.056
257.00	0.000	0.059	0.056	0.056	0.055	0.056	0.060	0.056	0.053	0.056	0.056
258.00	0.000	0.058	0.056	0.056	0.054	0.055	0.060	0.056	0.053	0.055	0.055
259.00	0.000	0.058	0.055	0.055	0.054	0.055	0.059	0.055	0.052	0.055	0.055
260.00	0.000	0.057	0.055	0.055	0.053	0.054	0.059	0.054	0.052	0.054	0.054
261.00	0.000	0.056	0.054	0.054	0.053	0.054	0.058	0.054	0.051	0.054	0.053
262.00	0.000	0.056	0.054	0.054	0.052	0.053	0.057	0.054	0.051	0.053	0.053
263.00	0.000	0.055	0.053	0.053	0.051	0.053	0.057	0.053	0.051	0.053	0.053
264.00	0.000	0.055	0.053	0.053	0.051	0.052	0.056	0.052	0.050	0.052	0.052
265.00	0.000	0.054	0.052	0.052	0.050	0.052	0.055	0.052	0.049	0.052	0.052
266.00	0.000	0.053	0.051	0.052	0.050	0.051	0.054	0.051	0.049	0.051	0.051
267.00	0.000	0.053	0.051	0.051	0.049	0.050	0.053	0.050	0.048	0.050	0.050
268.00	0.000	0.052	0.050	0.050	0.048	0.050	0.053	0.050	0.047	0.050	0.050
269.00	0.000	0.051	0.049	0.050	0.047	0.049	0.052	0.049	0.047	0.049	0.049
270.00	0.000	0.051	0.049	0.049	0.047	0.048	0.051	0.048	0.046	0.048	0.048
271.00	0.000	0.050	0.048	0.049	0.046	0.048	0.051	0.048	0.046	0.048	0.048
272.00	0.000	0.049	0.047	0.048	0.046	0.047	0.050	0.047	0.045	0.047	0.047
273.00	0.000	0.049	0.047	0.047	0.045	0.046	0.049	0.046	0.044	0.046	0.047
274.00	0.000	0.048	0.046	0.047	0.044	0.046	0.048	0.046	0.044	0.045	0.046
275.00	0.000	0.047	0.045	0.046	0.043	0.045	0.047	0.045	0.043	0.045	0.045
276.00	0.000	0.046	0.045	0.045	0.042	0.044	0.046	0.044	0.042	0.044	0.044
277.00	0.000	0.045	0.044	0.044	0.042	0.043	0.046	0.043	0.041	0.043	0.044
278.00	0.000	0.045	0.043	0.044	0.041	0.042	0.045	0.043	0.041	0.042	0.043
279.00	0.000	0.044	0.042	0.043	0.040	0.042	0.044	0.042	0.040	0.042	0.042
280.00	0.000	0.043	0.042	0.042	0.040	0.041	0.043	0.041	0.039	0.041	0.041
281.00	0.000	0.042	0.041	0.041	0.039	0.040	0.042	0.040	0.038	0.040	0.041
282.00	0.000	0.042	0.040	0.041	0.038	0.039	0.042	0.039	0.038	0.039	0.040
283.00	0.000	0.041	0.040	0.040	0.037	0.039	0.041	0.039	0.037	0.039	0.039
284.00	0.000	0.040	0.039	0.039	0.036	0.038	0.040	0.038	0.036	0.038	0.038
285.00	0.000	0.039	0.038	0.038	0.036	0.037	0.039	0.037	0.036	0.037	0.038
286.00	0.000	0.038	0.037	0.037	0.035	0.036	0.039	0.036	0.035	0.036	0.037
287.00	0.000	0.037	0.036	0.036	0.034	0.035	0.038	0.035	0.034	0.035	0.036
288.00	0.000	0.037	0.036	0.036	0.033	0.035	0.037	0.035	0.033	0.035	0.035
289.00	0.000	0.036	0.035	0.035	0.033	0.034	0.036	0.034	0.033	0.034	0.035
290.00	0.000	0.035	0.034	0.034	0.032	0.033	0.035	0.033	0.032	0.033	0.034
291.00	0.000	0.034	0.033	0.033	0.031	0.032	0.034	0.033	0.031	0.032	0.033
