Wavelength nm.,milliQ,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14
498,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.005,0.001,0.003,0.001,0.001,0.001
499,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.005,0.001,0.003,0.001,0.001,0.001
500,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.005,0.001,0.003,0.001,0.001,0.001
501,-0.001,0.006,0.001,0.003,0,0.001,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
502,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
503,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
504,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.005,0.001,0.003,0.001,0.001,0.001
505,-0.001,0.006,0.001,0.003,0,0.001,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
506,0,0.006,0.001,0.003,0,0.001,0.001,0.001,0.001,0.005,0.001,0.003,0.001,0.001,0.001
507,-0.001,0.006,0.001,0.003,0,0.001,0.001,0.001,0.001,0.005,0.001,0.003,0.001,0.001,0.001
508,0,0.006,0.001,0.003,0,0.001,0.001,0.001,0.001,0.004,0.001,0.003,0.001,0.001,0.001
509,-0.001,0.006,0.001,0.003,0,0.001,0.001,0.001,0,0.004,0.001,0.003,0.001,0.001,0.001
510,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
511,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
512,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
513,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
514,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
515,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
516,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
517,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
518,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
519,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
520,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
521,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
522,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
523,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
524,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
525,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
526,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
527,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
528,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
529,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
530,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
531,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
532,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
533,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0,0.003,0.001,0.001,0.001
534,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
535,0,0.006,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.004,0.001,0.003,0.001,0.001,0.001
536,0.001,0.007,0.002,0.004,0.001,0.002,0.002,0.001,0.001,0.005,0.002,0.004,0.002,0.002,0.002
537,0,0.006,0.001,0.003,0,0.001,0.001,0.001,0,0.004,0.001,0.003,0.001,0.001,0.001
538,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
539,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
540,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
541,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
542,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0,0.003,0.001,0.001,0
543,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0
544,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0,0.003,0.001,0.001,0
545,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0
546,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
547,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0
548,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
549,0,0.006,0.001,0.003,0,0.001,0.001,0.001,0,0.004,0.001,0.003,0.001,0.001,0.001
550,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0
551,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0
552,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0,0.003,0.001,0.001,0
553,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0
554,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0
555,-0.001,0.005,0.001,0.003,0,0.001,0.001,0,0,0.004,0,0.003,0.001,0.001,0
556,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.004,0,0.003,0.001,0.001,0
557,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0
558,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0,0.003,0.001,0.001,0
559,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0
560,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0,0.003,0.001,0.001,0
561,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0,0.003,0.001,0.001,0
562,0,0.005,0.001,0.003,0,0,0.001,0,0,0.003,0,0.003,0.001,0.001,0
563,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.004,0,0.003,0.001,0.001,0
564,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0
565,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0
566,0,0.006,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0
567,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.004,0,0.003,0.001,0.001,0
568,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0.001,0.003,0.001,0.001,0
569,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0.001,0.003,0.001,0.001,0
570,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0
571,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0.001,0.003,0.001,0.001,0
572,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
573,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
574,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
575,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
576,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
577,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
578,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
579,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
580,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
581,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0.001,0.003,0.001,0.001,0
582,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
583,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
584,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
585,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
586,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
587,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
588,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
589,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
590,-0.001,0.005,0.001,0.003,0,0,0.001,0,0,0.003,0,0.003,0,0.001,0
591,-0.001,0.005,0.001,0.003,0,0,0.001,0,0,0.003,0,0.003,0,0.001,0
592,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
593,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0,0.001,0
594,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0,0.001,0
595,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0,0.001,0
596,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
597,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
598,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0,0.001,0
599,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
600,0,0.005,0.001,0.002,0,0,0.001,0,0,0.003,0,0.002,0,0.001,0
601,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0,0.001,0
602,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
603,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0,0.001,0
604,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0,0.001,0
605,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
606,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
607,0,0.005,0.001,0.003,0,0,0.001,0,0,0.003,0,0.002,0.001,0.001,0
608,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0,0.001,0
609,0,0.005,0.001,0.002,0,0,0.001,0,0,0.003,0,0.002,0,0.001,0
610,0,0.005,0.001,0.002,0,0,0.001,0,0,0.003,0,0.002,0,0.001,0
611,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0,0.001,0
612,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
613,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.003,0.001,0.001,0
614,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0,0.001,0
615,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.002,0,0.001,0
616,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0,0.001,0
617,0,0.005,0.001,0.002,0,0,0.001,0,0,0.003,0,0.002,0,0.001,0
618,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0,0.001,0
619,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0,0.001,0
620,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
621,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
622,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
623,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
624,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
625,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
626,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
627,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
628,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
629,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
630,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
631,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
632,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
633,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
634,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
635,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
636,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
637,0,0.005,0.001,0.002,0,0,0.001,0,0,0.003,0,0.002,0.001,0.001,0
638,0,0.005,0.001,0.002,0,0,0.001,0,0,0.003,0,0.002,0.001,0,0
639,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0,0
640,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
641,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
642,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
643,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0,0
644,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0,0.001,0
645,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
646,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
647,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
648,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
649,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
650,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
651,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
652,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
653,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
654,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
655,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
656,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
657,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
658,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
659,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
660,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
661,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
662,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
663,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
664,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
665,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
666,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
667,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
668,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
669,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
670,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
671,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0,0
672,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
673,0,0.005,0.001,0.003,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
674,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
675,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0,0
676,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
677,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0,0
678,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
679,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
680,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
681,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
682,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
683,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
684,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
685,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
686,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
687,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
688,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
689,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
690,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
691,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0,0.001,0
692,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
693,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
694,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
695,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
696,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
697,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
698,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
699,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
700,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
701,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
702,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
703,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
704,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
705,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0,0,0
706,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0,0,0
707,0,0.005,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0,0.001,0
708,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0.001,0.001,0
709,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0.001,0.001,0
710,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
711,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
712,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
713,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
714,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
715,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
716,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
717,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.003,0,0.002,0,0,0
718,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
719,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
720,0,0.004,0.001,0.002,0,0.001,0,0,0,0.002,0,0.002,0,0,0
721,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
722,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
723,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
724,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
725,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
726,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
727,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
728,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
729,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
730,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
731,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
732,0,0.004,0.001,0.002,0,0.001,0,0,0,0.002,0,0.002,0,0,0
733,0,0.004,0.001,0.002,0,0.001,0,0,0,0.002,0,0.002,0,0,0
734,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
735,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
736,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
737,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
738,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
739,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
740,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
741,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
742,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
743,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
744,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
745,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
746,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
747,0,0.004,0.001,0.002,0,0,0.001,0,0,0.002,0,0.002,0,0,0
748,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
749,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
750,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
751,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
752,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
753,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
754,0,0.004,0.001,0.002,0,0,0.001,0,0,0.002,0,0.002,0,0,0
755,0,0.004,0.001,0.002,0,0,0.001,0,0,0.002,0,0.002,0,0,0
756,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
757,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
758,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
759,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0.001,0.001,0
760,0.001,0.005,0.002,0.003,0.001,0.002,0.002,0.001,0.001,0.003,0.001,0.003,0.001,0.002,0.001
761,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0.001,0.001,0
762,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
763,0,0.004,0.001,0.002,0,0,0.001,0,0,0.002,0,0.002,0,0,0
764,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
765,0,0.004,0.001,0.002,0,0.001,0,0,0,0.002,0,0.002,0,0,0
766,0,0.004,0.001,0.002,0,0.001,0,0,0,0.002,0,0.002,0,0,0
767,0,0.004,0.001,0.002,0,0.001,0,0,0,0.002,0,0.002,0,0,0
768,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.001,0,0,0
769,0,0.004,0.001,0.002,0,0,0.001,0,0,0.002,0,0.002,0,0,0
770,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
771,0,0.004,0.001,0.002,0,0,0.001,0,0,0.002,0,0.002,0,0,0
772,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
773,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
774,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
775,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
776,0,0.004,0.001,0.002,0,0,0.001,0,0,0.002,0,0.002,0,0,0
777,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
