Wavelength nm.,MilliQ,CP1_19jun24_BOTr1,CC2_19jun24_BOTr1,CP2_19jun24_BOTr2,CC1_19jun24_01r1,CC3_19jun24_15r1,CP2_19jun24_01r2,CP1_19jun24_01r2,CC3_19jun24_BOTr1,CS2_19un24_01r1,CS1_19jun24_01r1,CC3_19jun24_01r2,CC1_19jun24_BOTr1,CC4_19jun24_15r1,CC3_19jun24_15r2,CC2_19jun24_BOTr2
275,0,0.062,0.043,0.058,0.04,0.037,0.054,0.058,0.045,0.037,0.047,0.037,0.042,0.037,0.037,0.04
276,0,0.061,0.042,0.057,0.04,0.036,0.053,0.057,0.044,0.037,0.046,0.037,0.041,0.036,0.036,0.04
277,0,0.06,0.041,0.056,0.039,0.035,0.052,0.057,0.043,0.036,0.046,0.036,0.04,0.036,0.035,0.039
278,0,0.059,0.04,0.055,0.038,0.035,0.051,0.056,0.043,0.036,0.045,0.035,0.04,0.035,0.034,0.038
279,0,0.058,0.04,0.054,0.037,0.034,0.05,0.055,0.042,0.035,0.045,0.034,0.039,0.034,0.033,0.038
280,0,0.057,0.039,0.053,0.037,0.033,0.049,0.054,0.041,0.035,0.044,0.033,0.038,0.033,0.033,0.037
281,0,0.056,0.038,0.052,0.036,0.033,0.049,0.053,0.04,0.034,0.044,0.033,0.037,0.033,0.032,0.036
282,0,0.055,0.037,0.051,0.035,0.032,0.048,0.052,0.04,0.034,0.043,0.032,0.036,0.032,0.031,0.035
283,0,0.054,0.037,0.051,0.034,0.031,0.047,0.051,0.039,0.033,0.043,0.031,0.036,0.031,0.031,0.034
284,0,0.053,0.036,0.05,0.033,0.031,0.046,0.05,0.038,0.033,0.042,0.031,0.035,0.031,0.03,0.034
285,0,0.052,0.035,0.049,0.033,0.03,0.045,0.049,0.038,0.032,0.042,0.03,0.034,0.03,0.029,0.033
286,0,0.051,0.034,0.048,0.032,0.029,0.044,0.048,0.037,0.032,0.041,0.029,0.033,0.029,0.028,0.032
287,0,0.05,0.034,0.047,0.031,0.028,0.043,0.047,0.036,0.031,0.041,0.028,0.033,0.028,0.028,0.032
288,0,0.049,0.033,0.046,0.031,0.028,0.042,0.046,0.035,0.031,0.04,0.027,0.032,0.028,0.027,0.031
289,0,0.049,0.032,0.046,0.03,0.027,0.041,0.046,0.035,0.031,0.04,0.027,0.031,0.027,0.026,0.03
290,0,0.047,0.031,0.045,0.029,0.027,0.041,0.045,0.034,0.03,0.039,0.026,0.031,0.026,0.026,0.029
291,0,0.046,0.031,0.044,0.028,0.026,0.04,0.044,0.033,0.03,0.038,0.025,0.03,0.025,0.025,0.029
292,0,0.045,0.03,0.043,0.028,0.025,0.039,0.043,0.032,0.029,0.038,0.025,0.029,0.025,0.024,0.028
293,0,0.045,0.029,0.042,0.027,0.024,0.038,0.042,0.032,0.029,0.037,0.024,0.028,0.024,0.024,0.027
294,0,0.044,0.028,0.041,0.026,0.023,0.037,0.041,0.031,0.028,0.037,0.023,0.027,0.023,0.023,0.026
295,0,0.043,0.028,0.041,0.025,0.023,0.036,0.04,0.03,0.028,0.036,0.023,0.027,0.023,0.022,0.026
296,0,0.042,0.027,0.04,0.025,0.022,0.035,0.04,0.03,0.027,0.036,0.022,0.026,0.022,0.022,0.025
297,0,0.042,0.027,0.039,0.024,0.022,0.035,0.039,0.029,0.027,0.036,0.022,0.026,0.022,0.021,0.025
298,0,0.041,0.026,0.039,0.024,0.022,0.034,0.039,0.029,0.027,0.035,0.022,0.026,0.021,0.021,0.024
299,0,0.04,0.026,0.038,0.023,0.021,0.033,0.038,0.028,0.026,0.035,0.021,0.025,0.021,0.02,0.024
300,0,0.039,0.025,0.038,0.023,0.02,0.033,0.037,0.028,0.026,0.034,0.02,0.024,0.02,0.02,0.023
