Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
261.00	0.001	0.077	0.058	0.033	0.058	0.056	0.061	0.056	0.036	0.055	0.054	0.056	0.053	0.056	0.041	0.043
262.00	0.001	0.076	0.057	0.032	0.057	0.055	0.061	0.056	0.035	0.055	0.053	0.056	0.052	0.055	0.041	0.043
263.00	0.000	0.075	0.057	0.032	0.056	0.055	0.060	0.055	0.035	0.054	0.052	0.055	0.051	0.055	0.041	0.042
264.00	0.001	0.074	0.056	0.032	0.056	0.054	0.060	0.054	0.034	0.053	0.052	0.054	0.051	0.054	0.040	0.042
265.00	0.001	0.073	0.056	0.032	0.055	0.054	0.059	0.054	0.034	0.053	0.051	0.054	0.050	0.053	0.040	0.042
266.00	0.000	0.072	0.055	0.031	0.055	0.053	0.058	0.053	0.034	0.052	0.051	0.053	0.050	0.053	0.039	0.041
267.00	0.000	0.071	0.054	0.031	0.054	0.052	0.057	0.052	0.034	0.051	0.050	0.052	0.049	0.052	0.039	0.041
268.00	0.000	0.071	0.053	0.031	0.053	0.051	0.057	0.051	0.033	0.051	0.049	0.051	0.048	0.051	0.039	0.040
269.00	0.000	0.070	0.053	0.030	0.053	0.051	0.056	0.051	0.033	0.050	0.049	0.051	0.047	0.050	0.038	0.040
270.00	0.000	0.069	0.052	0.030	0.052	0.050	0.055	0.050	0.032	0.050	0.048	0.050	0.047	0.050	0.038	0.039
271.00	0.000	0.068	0.051	0.030	0.051	0.049	0.054	0.049	0.032	0.049	0.047	0.050	0.046	0.049	0.038	0.039
272.00	0.000	0.067	0.051	0.029	0.050	0.049	0.054	0.049	0.032	0.048	0.047	0.049	0.045	0.048	0.037	0.039
273.00	0.000	0.066	0.050	0.029	0.050	0.048	0.053	0.048	0.031	0.048	0.046	0.048	0.045	0.048	0.037	0.038
274.00	0.000	0.065	0.049	0.029	0.049	0.047	0.052	0.047	0.031	0.047	0.045	0.047	0.044	0.047	0.037	0.038
275.00	0.001	0.064	0.048	0.028	0.048	0.047	0.051	0.046	0.031	0.046	0.044	0.047	0.043	0.046	0.037	0.038
276.00	0.000	0.063	0.047	0.028	0.047	0.046	0.051	0.045	0.030	0.046	0.044	0.046	0.042	0.045	0.036	0.037
277.00	0.001	0.062	0.047	0.028	0.047	0.045	0.050	0.045	0.030	0.045	0.043	0.045	0.042	0.045	0.036	0.037
278.00	0.000	0.061	0.046	0.028	0.046	0.044	0.049	0.044	0.030	0.044	0.042	0.044	0.041	0.044	0.035	0.036
279.00	0.000	0.061	0.046	0.027	0.045	0.043	0.048	0.043	0.030	0.043	0.041	0.043	0.040	0.043	0.035	0.036
280.00	0.000	0.059	0.044	0.027	0.044	0.042	0.047	0.042	0.029	0.043	0.041	0.042	0.039	0.042	0.034	0.036
281.00	0.000	0.058	0.044	0.027	0.043	0.041	0.047	0.041	0.029	0.042	0.040	0.042	0.039	0.041	0.034	0.035
282.00	0.000	0.057	0.043	0.026	0.043	0.041	0.046	0.041	0.028	0.041	0.039	0.041	0.038	0.040	0.033	0.035
283.00	0.000	0.056	0.042	0.026	0.042	0.040	0.045	0.040	0.028	0.041	0.038	0.040	0.037	0.040	0.033	0.034
284.00	0.000	0.055	0.041	0.025	0.041	0.039	0.044	0.039	0.028	0.040	0.037	0.039	0.036	0.039	0.033	0.034
285.00	0.000	0.054	0.040	0.025	0.040	0.038	0.043	0.038	0.027	0.039	0.037	0.038	0.035	0.038	0.032	0.033
286.00	0.000	0.053	0.040	0.025	0.039	0.038	0.043	0.037	0.027	0.038	0.036	0.037	0.035	0.037	0.032	0.033
287.00	0.000	0.052	0.039	0.024	0.038	0.037	0.042	0.036	0.027	0.038	0.035	0.037	0.034	0.036	0.032	0.033
288.00	0.000	0.051	0.038	0.024	0.038	0.036	0.041	0.036	0.026	0.037	0.034	0.036	0.033	0.036	0.031	0.032
289.00	0.000	0.050	0.037	0.024	0.037	0.035	0.040	0.035	0.026	0.036	0.034	0.035	0.032	0.035	0.030	0.032
