Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
255.00	0.000	0.049	0.060	0.050	0.050	0.049	0.059	0.064	0.058	0.039
256.00	0.000	0.048	0.060	0.050	0.050	0.049	0.059	0.064	0.058	0.039
257.00	0.000	0.048	0.059	0.049	0.049	0.048	0.058	0.063	0.057	0.038
258.00	0.000	0.047	0.058	0.049	0.048	0.048	0.058	0.062	0.057	0.038
259.00	0.000	0.047	0.058	0.048	0.048	0.047	0.057	0.062	0.057	0.038
260.00	0.000	0.047	0.057	0.048	0.048	0.047	0.056	0.061	0.056	0.037
261.00	0.000	0.046	0.057	0.048	0.047	0.046	0.056	0.061	0.055	0.037
262.00	0.000	0.046	0.056	0.047	0.047	0.046	0.055	0.060	0.055	0.037
263.00	0.000	0.045	0.056	0.047	0.046	0.045	0.055	0.060	0.054	0.036
264.00	0.000	0.045	0.055	0.046	0.046	0.045	0.054	0.059	0.053	0.036
265.00	0.000	0.044	0.054	0.045	0.045	0.044	0.053	0.058	0.053	0.035
266.00	0.000	0.044	0.054	0.045	0.044	0.044	0.053	0.058	0.052	0.035
267.00	0.000	0.043	0.053	0.044	0.044	0.043	0.052	0.057	0.052	0.035
268.00	0.000	0.042	0.053	0.044	0.043	0.043	0.052	0.056	0.051	0.034
269.00	0.000	0.042	0.052	0.043	0.043	0.042	0.051	0.056	0.050	0.034
270.00	0.000	0.041	0.051	0.042	0.042	0.041	0.050	0.055	0.050	0.033
271.00	0.000	0.041	0.051	0.042	0.041	0.041	0.049	0.054	0.049	0.033
272.00	0.000	0.040	0.050	0.041	0.041	0.040	0.049	0.054	0.048	0.033
273.00	0.000	0.039	0.049	0.040	0.040	0.040	0.048	0.053	0.048	0.032
274.00	0.000	0.039	0.049	0.040	0.040	0.039	0.047	0.052	0.047	0.032
275.00	0.000	0.038	0.048	0.039	0.039	0.038	0.047	0.052	0.046	0.032
276.00	0.000	0.037	0.047	0.038	0.038	0.038	0.046	0.051	0.046	0.031
277.00	0.000	0.037	0.047	0.038	0.037	0.037	0.046	0.051	0.045	0.031
278.00	-0.000	0.036	0.046	0.037	0.037	0.036	0.045	0.049	0.044	0.030
279.00	-0.000	0.035	0.045	0.036	0.036	0.035	0.044	0.049	0.043	0.030
280.00	-0.000	0.034	0.044	0.035	0.035	0.034	0.043	0.048	0.042	0.029
281.00	-0.000	0.034	0.043	0.035	0.035	0.034	0.042	0.047	0.042	0.029
282.00	-0.000	0.033	0.043	0.034	0.034	0.033	0.041	0.046	0.041	0.028
283.00	0.000	0.033	0.042	0.033	0.033	0.033	0.041	0.046	0.040	0.028
284.00	0.000	0.032	0.042	0.033	0.033	0.032	0.040	0.045	0.040	0.028
285.00	0.000	0.031	0.041	0.032	0.032	0.032	0.039	0.044	0.039	0.028
286.00	0.000	0.030	0.040	0.031	0.031	0.031	0.039	0.043	0.038	0.027
287.00	0.000	0.030	0.040	0.030	0.031	0.030	0.038	0.043	0.037	0.027
288.00	0.000	0.029	0.039	0.030	0.030	0.029	0.037	0.042	0.037	0.026
289.00	0.000	0.028	0.038	0.029	0.029	0.029	0.036	0.041	0.036	0.026
290.00	0.000	0.028	0.037	0.029	0.029	0.028	0.036	0.041	0.036	0.025
291.00	0.000	0.027	0.037	0.028	0.028	0.027	0.035	0.040	0.035	0.025
292.00	0.000	0.026	0.036	0.027	0.027	0.027	0.034	0.039	0.034	0.025
293.00	0.000	0.026	0.035	0.026	0.027	0.026	0.034	0.038	0.033	0.024
294.00	0.000	0.025	0.035	0.026	0.026	0.026	0.033	0.038	0.033	0.024
295.00	0.000	0.025	0.034	0.025	0.026	0.025	0.032	0.037	0.032	0.024
296.00	0.000	0.024	0.033	0.024	0.025	0.024	0.032	0.036	0.031	0.023
297.00	-0.000	0.023	0.033	0.024	0.025	0.024	0.031	0.036	0.031	0.023
298.00	0.000	0.023	0.032	0.024	0.024	0.023	0.031	0.035	0.030	0.023
299.00	0.000	0.023	0.032	0.023	0.024	0.023	0.030	0.034	0.030	0.022
300.00	0.000	0.022	0.031	0.023	0.023	0.022	0.030	0.034	0.029	0.022
301.00	0.000	0.022	0.031	0.022	0.023	0.022	0.029	0.034	0.029	0.022
302.00	0.000	0.021	0.030	0.022	0.022	0.022	0.029	0.033	0.028	0.022
303.00	0.000	0.021	0.030	0.021	0.022	0.021	0.028	0.032	0.028	0.021
304.00	0.000	0.020	0.029	0.021	0.021	0.021	0.027	0.032	0.027	0.020
305.00	0.000	0.020	0.029	0.020	0.021	0.020	0.027	0.032	0.027	0.020
306.00	-0.000	0.020	0.028	0.020	0.021	0.020	0.026	0.031	0.026	0.020
307.00	0.000	0.019	0.028	0.020	0.020	0.020	0.026	0.031	0.026	0.020
308.00	0.000	0.019	0.027	0.020	0.020	0.019	0.026	0.030	0.026	0.020
309.00	0.000	0.018	0.027	0.019	0.019	0.019	0.025	0.030	0.025	0.020
310.00	0.000	0.018	0.027	0.018	0.019	0.018	0.025	0.029	0.025	0.019
311.00	0.000	0.018	0.026	0.018	0.019	0.018	0.024	0.029	0.024	0.019
312.00	0.000	0.018	0.026	0.018	0.019	0.018	0.024	0.028	0.024	0.019
313.00	0.000	0.017	0.026	0.018	0.018	0.018	0.024	0.028	0.024	0.018
314.00	0.000	0.017	0.025	0.017	0.018	0.017	0.023	0.028	0.023	0.018
315.00	0.000	0.017	0.025	0.017	0.017	0.017	0.023	0.027	0.023	0.017
316.00	-0.000	0.016	0.024	0.016	0.017	0.017	0.022	0.027	0.022	0.017
317.00	0.000	0.016	0.024	0.016	0.017	0.016	0.022	0.026	0.022	0.017
318.00	0.000	0.016	0.024	0.016	0.016	0.016	0.022	0.026	0.021	0.017
319.00	0.000	0.015	0.023	0.016	0.016	0.016	0.021	0.026	0.021	0.017
320.00	0.000	0.015	0.023	0.015	0.016	0.016	0.021	0.025	0.021	0.017
321.00	0.000	0.014	0.023	0.015	0.015	0.015	0.020	0.025	0.021	0.016
322.00	0.000	0.014	0.022	0.014	0.015	0.015	0.020	0.024	0.020	0.016
323.00	0.000	0.014	0.022	0.014	0.015	0.015	0.020	0.024	0.020	0.016
324.00	0.000	0.014	0.022	0.014	0.015	0.015	0.020	0.024	0.020	0.016
325.00	0.000	0.014	0.022	0.014	0.015	0.015	0.019	0.024	0.020	0.016
326.00	0.000	0.014	0.021	0.014	0.014	0.014	0.019	0.023	0.019	0.015
327.00	0.000	0.013	0.021	0.013	0.014	0.014	0.018	0.023	0.019	0.015
328.00	0.000	0.013	0.021	0.013	0.014	0.014	0.018	0.023	0.018	0.015
329.00	0.000	0.013	0.021	0.013	0.014	0.014	0.018	0.022	0.018	0.015
330.00	0.000	0.013	0.020	0.013	0.013	0.013	0.018	0.022	0.018	0.015
331.00	0.000	0.012	0.020	0.013	0.013	0.013	0.018	0.022	0.017	0.014
332.00	0.000	0.012	0.020	0.012	0.013	0.013	0.017	0.021	0.017	0.014
333.00	0.000	0.012	0.019	0.012	0.013	0.013	0.017	0.021	0.017	0.014
334.00	0.000	0.012	0.019	0.012	0.012	0.012	0.017	0.021	0.017	0.014
335.00	0.000	0.011	0.019	0.012	0.012	0.012	0.016	0.020	0.017	0.013
336.00	0.000	0.011	0.019	0.012	0.012	0.012	0.016	0.020	0.016	0.013
337.00	0.000	0.011	0.018	0.011	0.012	0.012	0.016	0.020	0.016	0.013
338.00	0.000	0.011	0.018	0.011	0.012	0.011	0.015	0.020	0.016	0.012
339.00	0.001	0.011	0.018	0.011	0.012	0.012	0.016	0.020	0.016	0.013
340.00	0.001	0.012	0.019	0.012	0.013	0.012	0.016	0.020	0.017	0.014
341.00	0.000	0.010	0.017	0.010	0.011	0.011	0.015	0.019	0.016	0.012
342.00	0.000	0.011	0.017	0.010	0.011	0.011	0.015	0.019	0.015	0.012
343.00	0.000	0.010	0.017	0.010	0.011	0.011	0.014	0.018	0.015	0.012
344.00	0.000	0.010	0.017	0.010	0.011	0.011	0.014	0.018	0.015	0.012
345.00	0.000	0.010	0.016	0.010	0.011	0.010	0.014	0.018	0.014	0.012
346.00	0.000	0.010	0.016	0.010	0.011	0.010	0.014	0.017	0.014	0.011
347.00	0.000	0.010	0.017	0.010	0.011	0.010	0.014	0.017	0.014	0.011
348.00	0.000	0.009	0.016	0.009	0.010	0.010	0.014	0.017	0.014	0.011
349.00	0.000	0.009	0.016	0.009	0.010	0.010	0.013	0.017	0.013	0.011
350.00	0.000	0.009	0.016	0.009	0.010	0.009	0.013	0.017	0.013	0.011
351.00	0.000	0.009	0.015	0.009	0.010	0.009	0.013	0.016	0.013	0.011
352.00	0.000	0.009	0.015	0.009	0.010	0.009	0.013	0.016	0.013	0.011
353.00	0.000	0.009	0.015	0.009	0.010	0.009	0.012	0.016	0.013	0.011
354.00	0.000	0.008	0.015	0.008	0.009	0.009	0.012	0.016	0.012	0.010
355.00	-0.000	0.008	0.014	0.008	0.009	0.009	0.012	0.015	0.012	0.010
356.00	-0.000	0.008	0.014	0.008	0.009	0.008	0.011	0.015	0.012	0.009
357.00	-0.000	0.008	0.014	0.008	0.009	0.008	0.011	0.015	0.012	0.010
358.00	-0.000	0.008	0.014	0.008	0.009	0.009	0.011	0.015	0.012	0.010
359.00	0.000	0.007	0.014	0.008	0.008	0.008	0.011	0.015	0.011	0.009
360.00	0.000	0.007	0.014	0.007	0.008	0.008	0.011	0.015	0.012	0.009
361.00	0.000	0.008	0.013	0.007	0.008	0.008	0.011	0.014	0.011	0.009
362.00	0.000	0.007	0.013	0.007	0.008	0.008	0.011	0.014	0.011	0.009
363.00	0.000	0.007	0.013	0.007	0.008	0.008	0.010	0.014	0.011	0.009
364.00	0.000	0.007	0.013	0.007	0.008	0.008	0.010	0.014	0.011	0.009
365.00	-0.000	0.007	0.012	0.007	0.007	0.007	0.010	0.013	0.010	0.008
366.00	-0.000	0.007	0.013	0.007	0.007	0.007	0.010	0.013	0.010	0.008
367.00	0.000	0.006	0.012	0.006	0.007	0.007	0.010	0.013	0.010	0.008
368.00	0.000	0.006	0.012	0.006	0.007	0.007	0.010	0.013	0.010	0.008
369.00	0.000	0.006	0.012	0.006	0.007	0.007	0.009	0.013	0.010	0.008
370.00	-0.000	0.006	0.012	0.006	0.007	0.007	0.009	0.012	0.009	0.007
371.00	-0.000	0.006	0.012	0.006	0.007	0.006	0.009	0.012	0.009	0.007
372.00	-0.000	0.006	0.012	0.006	0.007	0.007	0.009	0.012	0.009	0.008
373.00	0.000	0.006	0.012	0.006	0.007	0.007	0.009	0.012	0.009	0.008
374.00	0.000	0.006	0.011	0.006	0.007	0.007	0.009	0.012	0.009	0.008
375.00	0.000	0.006	0.011	0.006	0.007	0.006	0.008	0.012	0.009	0.007
376.00	-0.000	0.005	0.011	0.005	0.006	0.006	0.008	0.012	0.009	0.007
377.00	-0.000	0.005	0.011	0.005	0.006	0.006	0.008	0.012	0.009	0.007
378.00	-0.000	0.005	0.011	0.005	0.006	0.006	0.008	0.012	0.009	0.007
379.00	-0.000	0.006	0.011	0.005	0.006	0.006	0.008	0.011	0.008	0.007
380.00	0.000	0.005	0.010	0.005	0.006	0.006	0.008	0.011	0.008	0.007
381.00	0.000	0.005	0.011	0.005	0.006	0.006	0.008	0.011	0.008	0.007
382.00	-0.000	0.005	0.010	0.005	0.006	0.006	0.008	0.011	0.008	0.006
383.00	0.000	0.005	0.010	0.005	0.006	0.006	0.007	0.011	0.008	0.006
384.00	0.000	0.005	0.010	0.005	0.006	0.006	0.007	0.011	0.008	0.006
385.00	-0.000	0.005	0.010	0.005	0.006	0.005	0.007	0.011	0.008	0.006
386.00	-0.000	0.005	0.010	0.005	0.006	0.005	0.007	0.010	0.008	0.006
387.00	-0.000	0.005	0.010	0.005	0.006	0.005	0.007	0.010	0.007	0.006
388.00	0.000	0.005	0.010	0.004	0.005	0.005	0.007	0.010	0.007	0.006
389.00	-0.000	0.005	0.010	0.004	0.005	0.005	0.007	0.010	0.007	0.006
390.00	-0.000	0.004	0.009	0.004	0.005	0.005	0.007	0.010	0.007	0.006
391.00	-0.000	0.004	0.009	0.004	0.005	0.005	0.006	0.010	0.007	0.005
392.00	-0.000	0.004	0.009	0.004	0.005	0.005	0.006	0.009	0.007	0.005
393.00	-0.000	0.004	0.009	0.004	0.005	0.005	0.006	0.009	0.007	0.005
394.00	0.000	0.004	0.009	0.004	0.005	0.005	0.006	0.009	0.007	0.005
395.00	-0.000	0.004	0.009	0.004	0.005	0.005	0.006	0.009	0.007	0.005
396.00	-0.000	0.004	0.009	0.004	0.005	0.005	0.006	0.009	0.007	0.005
397.00	-0.000	0.004	0.009	0.004	0.005	0.004	0.006	0.009	0.006	0.005
398.00	-0.000	0.004	0.008	0.004	0.004	0.004	0.006	0.009	0.006	0.005
399.00	-0.000	0.004	0.009	0.004	0.005	0.004	0.005	0.009	0.006	0.005
400.00	-0.000	0.004	0.008	0.003	0.004	0.004	0.005	0.009	0.006	0.005
401.00	-0.000	0.004	0.008	0.003	0.004	0.004	0.005	0.009	0.006	0.005
402.00	0.000	0.004	0.008	0.003	0.004	0.004	0.005	0.009	0.006	0.005
403.00	-0.000	0.003	0.008	0.003	0.004	0.004	0.005	0.008	0.006	0.005
404.00	-0.000	0.003	0.008	0.003	0.004	0.004	0.005	0.008	0.006	0.005
405.00	-0.000	0.003	0.008	0.003	0.004	0.004	0.005	0.008	0.006	0.004
406.00	-0.000	0.003	0.008	0.003	0.004	0.004	0.005	0.008	0.006	0.004
407.00	0.000	0.003	0.008	0.003	0.004	0.004	0.005	0.008	0.006	0.004
408.00	-0.000	0.003	0.008	0.003	0.004	0.004	0.005	0.008	0.006	0.004
