F1,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450
336,2.06664E5,1.42375E5,1.25241E5,1.4026E5,1.48991E5,1.58784E5,1.80761E5,1.93908E5,1.77019E5,1.59131E5,1.32815E5,2.30882E5,7.79302E5,5.37085E5,9.00152E4,5.34047E4,5.13733E4,9.23898E4,5.01584E6,1.54718E7,1.01932E7,6.27389E5,1.738E4,1.06051E4,7325.76773,7059.54081,5302.86633,4812.22039,3897.68913,3643.05964,2952.95295,2035.35706,2339.51827,2201.47533,2160.28655,1744.12187,1529.94792,1630.49466,1762.50275,1786.09856,1114.88639,1509.11759,1212.82125
338,2.10343E5,1.46241E5,1.46463E5,1.47488E5,1.42928E5,1.79384E5,1.81841E5,1.9764E5,1.89628E5,1.65394E5,1.36761E5,1.54232E5,6.0447E5,7.20057E5,1.61403E5,5.87984E4,5.20052E4,6.20701E4,1.57683E6,1.22285E7,1.45742E7,2.75991E6,2.6788E4,1.34715E4,8335.37632,6963.49779,5903.53439,4974.02617,3927.99145,4162.19297,2554.47032,2223.2569,2154.37788,2694.61078,1969.78176,1556.9788,1453.67759,1410.62376,1861.84863,1614.11815,1412.33939,1414.35306,1464.63673
340,2.19487E5,1.79865E5,1.58208E5,1.53911E5,1.44952E5,1.74523E5,1.89528E5,1.88898E5,1.91324E5,1.69842E5,1.43952E5,1.29909E5,4.10941E5,8.21277E5,3.00177E5,6.3794E4,5.26706E4,5.78016E4,2.34345E5,6.98905E6,1.64321E7,7.25441E6,2.25331E5,1.7726E4,9213.95022,6770.95868,5799.02886,4906.07735,4275.52125,4290.76558,2841.76264,2210.58755,2109.51009,2202.23683,2239.14017,1866.37217,1648.94771,1698.46697,1917.14412,1667.20447,1336.7282,1529.27621,1502.31125
342,2.36714E5,1.76731E5,1.60527E5,1.4895E5,1.52367E5,1.80119E5,1.88052E5,1.97457E5,1.96709E5,1.72123E5,1.48357E5,1.19684E5,2.52196E5,7.80791E5,4.84208E5,8.81633E4,5.42223E4,5.50106E4,6.9742E4,2.70144E6,1.48577E7,1.21373E7,1.55608E6,2.49813E4,1.14177E4,7266.95221,6431.9619,5091.52981,4721.17307,4385.38382,2718.61689,2223.2569,2305.4755,2639.161,2241.64985,1798.32304,1866.11696,1489.57299,1825.98174,1548.88674,1464.81265,1560.20942,1358.3815
344,2.67981E5,1.73631E5,1.49619E5,1.4608E5,1.59568E5,1.86906E5,1.99346E5,2.08447E5,2.00786E5,1.77831E5,1.56194E5,1.20006E5,1.6307E5,6.37192E5,6.71043E5,1.53999E5,5.88235E4,5.76757E4,5.93943E4,5.79033E5,1.01788E7,1.54043E7,5.21844E6,5.93368E4,1.41027E4,9321.65319,6832.79743,5412.24226,4789.67097,4535.74886,3058.41063,2619.62976,2741.93548,2315.93502,2272.47285,1953.42677,1857.0808,1608.46095,1837.58803,1323.71933,1380.48211,1592.62364,1569.87383
346,2.26402E5,1.78616E5,1.6975E5,1.63448E5,1.77314E5,1.89105E5,2.03104E5,2.21163E5,2.03964E5,1.90431E5,1.56955E5,1.2656E5,1.28623E5,4.35646E5,7.86964E5,2.72911E5,6.57912E4,6.23661E4,5.73544E4,9.37182E4,4.91759E6,1.53674E7,1.0621E7,6.49787E5,1.83943E4,1.04971E4,7713.23461,5973.04773,4733.74424,4830.66213,3305.78512,2362.66294,2706.7496,2386.99262,2362.02843,1908.8602,1648.76885,1719.76629,1926.67621,1483.55192,1623.68672,1488.00168,1231.83524
348,2.2751E5,2.14455E5,1.94401E5,1.65663E5,1.76405E5,1.94609E5,1.98221E5,2.23421E5,2.05023E5,1.92252E5,1.69025E5,1.37711E5,1.23323E5,2.68771E5,7.9537E5,4.52254E5,9.04036E4,6.49102E4,6.12368E4,6.48329E4,1.43157E6,1.1976E7,1.51995E7,3.00881E6,2.83744E4,1.24239E4,8214.47356,6335.16088,5079.4532,5377.19856,3706.95053,2397.02118,2788.33967,2638.55283,2427.8362,1941.74757,1929.12106,1630.49466,1697.53086,1699.10743,1177.9688,1569.85871,1568.66519
350,2.59951E5,2.03036E5,1.79037E5,1.76846E5,1.76854E5,2.03081E5,2.14436E5,2.16898E5,2.21116E5,2.10821E5,1.7581E5,1.404E5,1.2795E5,1.82631E5,6.74041E5,6.37427E5,1.43677E5,6.79668E4,6.42552E4,6.14348E4,2.24345E5,6.84629E6,1.69577E7,7.71468E6,1.80865E5,1.63263E4,9732.77423,6676.56877,5133.25657,5724.05295,4054.56138,2737.01374,2964.58646,2951.00865,2339.37766,2186.87873,1897.22463,1620.19178,1882.84519,1644.63076,1134.7969,1298.97339,1473.98844
352,2.9804E5,2.24944E5,1.70601E5,1.80175E5,1.86758E5,2.11573E5,2.21049E5,2.2897E5,2.44337E5,2.16201E5,1.85591E5,1.55726E5,1.31276E5,1.40223E5,4.77659E5,7.83443E5,2.57577E5,7.90755E4,6.87822E4,6.30144E4,7.47111E4,2.41832E6,1.51611E7,1.35125E7,1.5936E6,2.30737E4,1.0348E4,7977.9796,5867.50264,5991.91357,3681.44252,2863.46176,3400.57637,2789.62536,2821.00078,1920.7418,1951.64263,1566.11889,1771.76186,1635.28779,1474.01909,1518.48361,1550.46225
354,2.91217E5,2.32442E5,2.0159E5,1.93253E5,1.93612E5,2.17681E5,2.29113E5,2.49091E5,2.35783E5,2.25975E5,1.99654E5,1.64555E5,1.46604E5,1.3708E5,3.20952E5,8.04371E5,4.26902E5,1.0157E5,7.61488E4,6.74068E4,6.93795E4,5.184E5,1.06184E7,1.75016E7,5.34659E6,5.00225E4,1.42117E4,8404.59824,6853.30596,5780.50009,4321.68358,3096.62398,3229.15465,3020.86936,2899.03739,2207.99293,1800.04337,1951.70361,1805.57085,1926.59563,1411.14058,1571.99748,1531.05441
356,3.12029E5,2.28507E5,1.9596E5,1.92134E5,2.05964E5,2.24928E5,2.35025E5,2.57669E5,2.46801E5,2.39927E5,2.12139E5,1.80229E5,1.62254E5,1.44724E5,2.13386E5,7.01266E5,6.13865E5,1.55917E5,8.38357E4,7.23913E4,6.95431E4,8.98175E4,4.8989E6,1.84238E7,1.12379E7,6.34314E5,1.84E4,9398.30272,6808.75848,5815.18572,4473.12367,3559.79525,3262.24784,3122.47955,2833.1467,2260.44768,1791.14199,1862.46418,2015.4185,1872.37706,1816.82958,1373.0217,1742.7306
358,3.04015E5,2.62862E5,2.33118E5,1.97277E5,2.14572E5,2.20684E5,2.51545E5,2.5443E5,2.60774E5,2.44745E5,2.27987E5,1.96002E5,1.70244E5,1.59572E5,1.7495E5,5.33844E5,7.5861E5,2.6341E5,9.47161E4,8.05225E4,7.39315E4,7.18768E4,1.42965E6,1.59729E7,1.56977E7,3.08933E6,2.7201E4,1.10013E4,7473.96592,6423.3306,4555.12452,3656.26456,4345.32042,3454.23143,2562.95467,2252.15279,1973.75556,1971.79996,1970.28068,1807.22892,1668.26055,1623.88685,1723.80586
360,3.2764E5,2.48595E5,2.17941E5,2.21178E5,2.27761E5,2.4351E5,2.55975E5,2.78567E5,2.75963E5,2.61148E5,2.50259E5,2.12996E5,1.87756E5,1.70708E5,1.65571E5,3.65843E5,8.03201E5,4.1335E5,1.1727E5,8.8353E4,7.90968E4,7.094E4,1.94612E5,1.04077E7,1.76533E7,8.21505E6,1.58131E5,1.55139E4,8737.13699,7458.73188,4759.51904,3887.78955,3997.23534,3583.77506,3008.61201,1954.93704,1929.74848,1962.08113,1917.77802,1710.96524,1645.78467,1770.5605,1348.74759
