Reservoir,Site_code,Site_number,Depth_m,Date,SampleName,Vial,18O,18O_1sd,2H,2H_1sd,Run_Date,Run_Name
CCR,CC4,88,0.1,9/16/2024,CC4 16sep24 0.1m,15,-3.89,0.04,-24.9,0.24,3/18/2025,CCR3
CCR,C50,50,9,2/17/2025,C50 17feb25 9m,16,-5.26,0.04,-31,0.21,3/18/2025,CCR3
CCR,CC3,90,1.5,9/16/2024,CC3 16sep24 1.5m,17,-3.79,0.06,-24.8,0.13,3/18/2025,CCR3
CCR,CC3,90,0.1,9/30/2024,CC3 30sep24 0.1m,19,-3.9,0.04,-24.7,0.21,3/18/2025,CCR3
CCR,CC3,90,3,9/16/2024,CC3 16sep24 BOT,20,-3.81,0.06,-25.1,0.23,3/18/2025,CCR3
CCR,CC3,90,0.1,2/17/2025,CC3 17feb25 0.1m,21,-5.28,0.03,-31.5,0.15,3/18/2025,CCR3
CCR,CC3,90,0.1,9/16/2024,CC3 16sep24 0.1m,22,-3.72,0.02,-24.9,0.29,3/18/2025,CCR3
CCR,CS2,100,0.1,2/17/2025,CS2 17feb25 0.1m,23,-6.7,0.04,-37.9,0.08,3/18/2025,CCR3
CCR,C50,50,0.1,2/17/2025,C50 17feb25 0.1m,24,-5.08,0.04,-31,0.11,3/18/2025,CCR3
CCR,C50,50,9,2/17/2025,C50 17feb25 9m - DUP,25,-5.08,0.05,-31.1,0.21,3/18/2025,CCR3
