Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
383.00	0.001	0.005	0.012	0.004	0.020	0.004	0.004	0.013	0.006	0.006	0.006	0.005	0.007
384.00	0.001	0.004	0.012	0.004	0.020	0.004	0.004	0.013	0.006	0.006	0.006	0.005	0.007
385.00	0.001	0.004	0.012	0.004	0.020	0.004	0.004	0.012	0.006	0.006	0.006	0.005	0.007
386.00	0.001	0.004	0.012	0.004	0.020	0.004	0.004	0.012	0.006	0.006	0.006	0.005	0.006
387.00	0.000	0.004	0.011	0.004	0.020	0.004	0.004	0.012	0.006	0.005	0.005	0.005	0.006
388.00	0.001	0.004	0.011	0.004	0.019	0.004	0.003	0.012	0.006	0.005	0.005	0.005	0.006
389.00	0.001	0.004	0.011	0.004	0.019	0.004	0.003	0.012	0.006	0.005	0.005	0.005	0.006
390.00	0.001	0.004	0.011	0.004	0.019	0.004	0.003	0.011	0.005	0.005	0.005	0.005	0.006
391.00	0.001	0.004	0.011	0.004	0.019	0.004	0.003	0.011	0.005	0.005	0.005	0.004	0.006
392.00	0.001	0.004	0.011	0.004	0.019	0.004	0.003	0.011	0.005	0.005	0.005	0.004	0.006
393.00	0.000	0.004	0.010	0.003	0.018	0.004	0.003	0.011	0.005	0.005	0.005	0.004	0.006
394.00	0.001	0.004	0.010	0.004	0.018	0.004	0.003	0.011	0.005	0.005	0.005	0.004	0.006
395.00	0.000	0.004	0.010	0.004	0.018	0.004	0.003	0.011	0.005	0.005	0.005	0.004	0.006
396.00	0.000	0.004	0.010	0.003	0.018	0.004	0.003	0.011	0.005	0.005	0.005	0.004	0.006
397.00	0.000	0.004	0.010	0.003	0.018	0.004	0.003	0.010	0.005	0.005	0.005	0.004	0.006
398.00	0.000	0.004	0.010	0.003	0.018	0.004	0.003	0.010	0.005	0.005	0.005	0.004	0.006
399.00	0.000	0.004	0.010	0.003	0.017	0.004	0.003	0.010	0.005	0.005	0.005	0.004	0.006
400.00	0.000	0.004	0.010	0.003	0.017	0.004	0.003	0.010	0.005	0.005	0.005	0.004	0.005
401.00	0.000	0.003	0.009	0.003	0.017	0.003	0.003	0.010	0.005	0.005	0.004	0.004	0.005
402.00	0.000	0.004	0.009	0.003	0.017	0.003	0.003	0.010	0.005	0.005	0.005	0.004	0.005
403.00	0.000	0.003	0.009	0.003	0.017	0.003	0.003	0.010	0.004	0.005	0.005	0.004	0.005
404.00	0.000	0.003	0.009	0.003	0.017	0.003	0.003	0.009	0.005	0.005	0.005	0.004	0.005
405.00	0.000	0.003	0.009	0.003	0.016	0.003	0.003	0.009	0.004	0.004	0.004	0.004	0.005
406.00	0.000	0.003	0.009	0.003	0.016	0.003	0.003	0.009	0.004	0.004	0.004	0.004	0.005
407.00	0.000	0.003	0.009	0.003	0.016	0.003	0.003	0.009	0.004	0.004	0.004	0.004	0.005
408.00	0.000	0.003	0.009	0.003	0.016	0.003	0.003	0.009	0.004	0.004	0.004	0.004	0.005
409.00	0.000	0.003	0.009	0.003	0.016	0.003	0.002	0.009	0.004	0.004	0.004	0.003	0.005
410.00	0.000	0.003	0.009	0.003	0.016	0.003	0.002	0.009	0.004	0.004	0.004	0.004	0.005
411.00	0.000	0.003	0.008	0.003	0.016	0.003	0.003	0.009	0.004	0.004	0.004	0.003	0.005
412.00	0.001	0.003	0.008	0.003	0.016	0.003	0.003	0.009	0.004	0.004	0.004	0.004	0.005
413.00	0.000	0.003	0.008	0.003	0.016	0.003	0.002	0.008	0.004	0.004	0.004	0.003	0.005
414.00	0.001	0.003	0.008	0.003	0.015	0.003	0.002	0.008	0.004	0.004	0.004	0.003	0.005
415.00	0.001	0.003	0.008	0.003	0.015	0.003	0.002	0.008	0.004	0.004	0.004	0.003	0.005
416.00	0.001	0.003	0.008	0.003	0.015	0.003	0.002	0.008	0.004	0.004	0.004	0.003	0.005
417.00	0.000	0.003	0.008	0.003	0.015	0.003	0.002	0.008	0.004	0.004	0.004	0.003	0.005
418.00	0.000	0.003	0.008	0.003	0.015	0.003	0.002	0.008	0.004	0.004	0.004	0.003	0.005
419.00	0.000	0.003	0.008	0.002	0.015	0.003	0.002	0.008	0.004	0.004	0.004	0.003	0.004
420.00	0.000	0.003	0.008	0.002	0.015	0.003	0.002	0.008	0.004	0.004	0.004	0.003	0.004
421.00	0.000	0.003	0.008	0.002	0.014	0.003	0.002	0.008	0.004	0.004	0.004	0.003	0.004
422.00	0.000	0.003	0.008	0.002	0.014	0.003	0.002	0.008	0.003	0.004	0.004	0.003	0.004
423.00	0.000	0.003	0.007	0.002	0.014	0.003	0.002	0.007	0.003	0.004	0.004	0.003	0.004
424.00	0.000	0.003	0.007	0.002	0.014	0.003	0.002	0.007	0.003	0.004	0.004	0.003	0.004
425.00	0.000	0.002	0.007	0.002	0.014	0.002	0.002	0.007	0.003	0.004	0.004	0.003	0.004
426.00	0.000	0.003	0.007	0.002	0.014	0.003	0.002	0.007	0.003	0.004	0.004	0.003	0.004
427.00	0.000	0.003	0.007	0.002	0.014	0.003	0.002	0.007	0.003	0.004	0.004	0.003	0.004
428.00	0.000	0.003	0.007	0.002	0.014	0.002	0.002	0.007	0.003	0.003	0.004	0.003	0.004
429.00	0.000	0.002	0.007	0.002	0.014	0.002	0.002	0.007	0.003	0.004	0.003	0.003	0.004
430.00	0.000	0.002	0.007	0.002	0.013	0.002	0.002	0.007	0.003	0.003	0.004	0.003	0.004
431.00	0.000	0.002	0.007	0.002	0.013	0.002	0.002	0.007	0.003	0.003	0.004	0.003	0.004
432.00	0.000	0.003	0.007	0.002	0.013	0.002	0.002	0.007	0.003	0.003	0.004	0.003	0.004
433.00	0.000	0.002	0.007	0.002	0.013	0.002	0.002	0.007	0.003	0.003	0.003	0.003	0.004
434.00	0.000	0.002	0.006	0.002	0.013	0.002	0.002	0.007	0.003	0.003	0.003	0.003	0.004
