Wavelength nm.,milliQ,CC4_16SEP24_01R2,CS1_16SEP24_01R2,CC3_16SEP24_15R1,CC2_16SEP24_01R2,CC4_16SEP24_15R2,CC4_16SEP24_15R1,CC2_16SEP24_01R1,CC4_16SEP24_9R1,CC3_16SEP24_01R1,CC4_16SEP24_6R1,CC3_16SEP24_BOTR2,CC4_16SEP24_BOTR1
280,0.001,0.029,0.047,0.029,0.073,0.029,0.029,0.062,0.033,0.031,0.03,0.031,0.034
281,0.001,0.029,0.046,0.028,0.072,0.028,0.028,0.061,0.032,0.031,0.03,0.03,0.034
282,0.001,0.028,0.046,0.027,0.071,0.028,0.028,0.06,0.031,0.03,0.029,0.029,0.033
283,0.001,0.027,0.045,0.026,0.07,0.027,0.027,0.059,0.031,0.029,0.028,0.028,0.032
284,0.001,0.027,0.045,0.026,0.068,0.026,0.026,0.058,0.03,0.028,0.028,0.028,0.032
285,0.001,0.026,0.044,0.025,0.067,0.026,0.026,0.057,0.03,0.028,0.027,0.027,0.031
286,0.002,0.025,0.044,0.025,0.066,0.025,0.025,0.056,0.029,0.027,0.026,0.026,0.03
287,0.001,0.025,0.043,0.024,0.065,0.025,0.024,0.055,0.029,0.026,0.026,0.026,0.03
288,0.001,0.024,0.042,0.023,0.064,0.024,0.024,0.054,0.028,0.026,0.025,0.025,0.029
289,0.001,0.024,0.042,0.023,0.063,0.023,0.023,0.053,0.027,0.025,0.024,0.024,0.029
290,0.001,0.023,0.041,0.022,0.062,0.022,0.022,0.052,0.027,0.025,0.024,0.024,0.028
291,0.001,0.022,0.041,0.021,0.061,0.022,0.022,0.051,0.026,0.024,0.023,0.023,0.028
292,0.001,0.022,0.04,0.021,0.06,0.021,0.021,0.05,0.026,0.023,0.022,0.023,0.027
293,0.001,0.021,0.039,0.02,0.059,0.021,0.021,0.049,0.025,0.023,0.022,0.022,0.026
294,0.001,0.02,0.039,0.02,0.058,0.02,0.02,0.048,0.025,0.022,0.021,0.022,0.026
295,0.001,0.02,0.038,0.019,0.057,0.02,0.019,0.047,0.024,0.022,0.021,0.021,0.025
296,0.001,0.019,0.038,0.019,0.056,0.019,0.019,0.046,0.024,0.021,0.02,0.021,0.025
297,0.001,0.019,0.038,0.018,0.056,0.019,0.019,0.046,0.023,0.021,0.02,0.02,0.025
298,0.001,0.018,0.037,0.018,0.055,0.018,0.018,0.045,0.023,0.02,0.019,0.02,0.024
299,0.001,0.018,0.036,0.017,0.054,0.018,0.018,0.044,0.022,0.02,0.019,0.019,0.023
300,0.001,0.018,0.036,0.017,0.053,0.017,0.017,0.043,0.022,0.019,0.018,0.019,0.023
301,0.001,0.017,0.035,0.017,0.052,0.017,0.017,0.042,0.022,0.019,0.018,0.018,0.023
302,0.001,0.017,0.035,0.016,0.052,0.017,0.016,0.041,0.021,0.018,0.018,0.018,0.022
303,0.001,0.016,0.034,0.016,0.05,0.016,0.016,0.041,0.021,0.018,0.017,0.017,0.022
304,0.001,0.016,0.034,0.015,0.05,0.016,0.015,0.04,0.02,0.018,0.017,0.017,0.021
305,0.001,0.016,0.034,0.015,0.049,0.015,0.015,0.039,0.02,0.017,0.017,0.017,0.021
306,0.001,0.015,0.033,0.015,0.048,0.015,0.015,0.038,0.019,0.017,0.016,0.016,0.021
307,0.001,0.015,0.032,0.014,0.047,0.015,0.014,0.037,0.019,0.016,0.016,0.016,0.02
308,0.001,0.014,0.032,0.014,0.047,0.014,0.014,0.037,0.019,0.016,0.016,0.015,0.02
309,0.001,0.014,0.031,0.014,0.046,0.014,0.014,0.036,0.018,0.015,0.015,0.015,0.02
310,0.001,0.014,0.031,0.013,0.045,0.014,0.013,0.036,0.018,0.015,0.015,0.015,0.019
311,0.001,0.014,0.031,0.013,0.045,0.014,0.013,0.035,0.018,0.015,0.015,0.014,0.019
312,0.001,0.013,0.03,0.013,0.044,0.013,0.013,0.034,0.018,0.015,0.014,0.014,0.019
313,0.001,0.013,0.03,0.012,0.043,0.013,0.012,0.034,0.017,0.014,0.014,0.014,0.018
314,0.001,0.013,0.029,0.012,0.043,0.013,0.012,0.033,0.017,0.014,0.014,0.014,0.018
315,0.001,0.012,0.029,0.012,0.043,0.012,0.012,0.033,0.016,0.014,0.014,0.013,0.018
316,0.001,0.012,0.029,0.012,0.042,0.012,0.012,0.032,0.016,0.014,0.013,0.013,0.017
